Query	Subject	% Similarity	E Value
CTL0001	TC_RS00005	80.38	0.0
CTL0002	TC_RS00010	81.94	0.0
CTL0003	TC_RS00015	85.06	9.999999999999998e-140
CTL0004	TC_RS00020	80.81	0.0
CTL_t01	TC_RS00025	100.0	4.9999999999999996e-33
CTL0005	TC_RS00030	82.54	0.0
CTL0006	TC_RS00035	80.99	0.0
CTL0007	TC_RS00040	78.24	0.0
CTL0008	TC_RS00045	78.77	0.0
CTL0009	TC_RS00050	79.89	0.0
CTL0010	TC_RS00055	78.82	0.0
CTL0011	TC_RS00065	81.52	0.0
CTL0012	TC_RS00070	81.69	0.0
CTL0013	TC_RS00075	87.88	4.999999999999999e-105
CTL0014	TC_RS00080	76.16	0.0
CTL0015	TC_RS00085	72.23	9.999999999999999e-84
CTL0016	TC_RS00090	78.94	0.0
CTL0017	TC_RS00095	74.46	5e-89
CTL0018	TC_RS00100	85.43	0.0
CTL0019	TC_RS00105	76.52	0.0
CTL0020	TC_RS00110	77.37	0.0
CTL0021	TC_RS00115	81.11	2e-44
CTL0022	TC_RS00120	84.72	0.0
CTL0023	TC_RS00125	82.62	2.999999999999999e-142
CTL0024	TC_RS00130	82.22	0.0
CTL_t03	TC_RS00135	100.0	4.9999999999999996e-33
CTL0025	TC_RS00140	67.97	6e-21
CTL0026	TC_RS00145	70.95	1e-23
CTL0027	TC_RS00150	82.32	0.0
CTL0028	TC_RS00155	90.3	5.9999999999999995e-90
CTL0029	TC_RS00160	82.33	0.0
CTL0030	TC_RS00165	80.86	0.0
CTL0031	TC_RS00170	73.41	9.999999999999998e-164
CTL0032	TC_RS00175	88.56	1.9999999999999995e-148
CTL0033	TC_RS00180	80.13	0.0
CTL0034	TC_RS00185	87.84	2.999999999999999e-88
CTL0035	TC_RS00190	87.55	6.999999999999998e-83
CTL0036	TC_RS00195	82.18	9.999999999999996e-128
CTL0037	TC_RS00200	80.21	7.999999999999997e-176
CTL0038	TC_RS00205	85.4	0.0
CTL0039	TC_RS00210	89.74	0.0
CTL0040	TC_RS00215	76.46	0.0
CTL0041	TC_RS00220	84.15	0.0
CTL0042	TC_RS00225	81.81	0.0
CTL0043	TC_RS00230	82.43	0.0
CTL_t31	TC_RS00235	100.0	4.9999999999999996e-33
CTL0044	TC_RS00240	79.37	0.0
CTL0045	TC_RS00245	81.25	3.999999999999999e-140
CTL_t20	TC_RS00250	98.63	1.9999999999999997e-31
CTL_t10	TC_RS00255	100.0	4e-34
CTL0046	TC_RS00260	85.19	4.999999999999998e-177
CTL0047	TC_RS00265	84.01	0.0
CTL0048	TC_RS00270	84.33	0.0
CTL0049	TC_RS00275	84.48	0.0
CTL_t11	TC_RS00280	100.0	6e-32
CTL0050	TC_RS00285	79.07	0.0
CTL0051	TC_RS00290	81.15	0.0
CTL0052	TC_RS00295	83.93	0.0
CTL0053	TC_RS00300	83.4	0.0
CTL0054	TC_RS00305	80.62	0.0
CTL0055	TC_RS00310	73.31	0.0
CTL0056	TC_RS00315	78.54	0.0
CTL0057	TC_RS00320	80.96	0.0
CTL0058	TC_RS00325	78.86	0.0
CTL0059	TC_RS00330	79.46	0.0
CTL0060	TC_RS00335	84.44	0.0
CTL0061	TC_RS00340	80.72	0.0
CTL0062	TC_RS00345	80.45	0.0
CTL0063	TC_RS00350	68.8	3.999999999999999e-80
CTL0064	TC_RS00355	72.64	0.0
CTL0065	TC_RS00360	81.2	0.0
CTL0066	TC_RS00365	78.49	6.999999999999997e-145
CTL0067	TC_RS00370	82.76	0.0
CTL0068	TC_RS00380	74.75	3.999999999999999e-169
CTL0069	TC_RS00385	82.81	0.0
CTL0070	TC_RS00390	83.25	0.0
CTL0071	TC_RS00395	82.58	1.9999999999999993e-156
CTL0072	TC_RS00400	83.91	0.0
CTL0073	TC_RS00405	78.99	0.0
CTL0074	TC_RS00410	86.03	0.0
CTL0075	TC_RS00415	87.91	0.0
CTL0076	TC_RS00420	83.6	0.0
CTL_t12	TC_RS00425	100.0	1.9999999999999998e-32
CTL0077	TC_RS00430	85.65	0.0
CTL0078	TC_RS00435	86.47	0.0
CTL0079	TC_RS00440	83.3	0.0
CTL0080	TC_RS00445	76.42	0.0
CTL0081	TC_RS00450	80.34	0.0
CTL0082	TC_RS00455	82.31	0.0
CTL0082a	TC_RS00455	93.59	1e-28
CTL0083	TC_RS00460	82.09	0.0
CTL0084	TC_RS00465	78.83	0.0
CTL0085	TC_RS00470	76.58	5.999999999999999e-73
CTL0086	TC_RS00475	81.09	0.0
CTL0087	TC_RS00480	79.24	2.999999999999999e-129
CTL0088	TC_RS00485	79.62	0.0
CTL0089	TC_RS00490	78.93	0.0
CTL0090	TC_RS00495	78.01	0.0
CTL0091	TC_RS00500	83.41	0.0
CTL0092	TC_RS00505	83.76	0.0
CTL0093	TC_RS00510	71.24	2.999999999999999e-66
CTL0094	TC_RS00515	75.41	1.9999999999999996e-106
CTL0095	TC_RS00520	81.84	0.0
CTL0096	TC_RS00525	81.31	0.0
CTL0097	TC_RS00530	78.45	4.9999999999999984e-179
CTL0098	TC_RS00535	82.98	0.0
CTL0099	TC_RS00540	77.37	0.0
CTL0100	TC_RS00545	80.24	0.0
CTL0101	TC_RS00550	75.47	2.9999999999999997e-91
CTL0102	TC_RS00555	79.67	0.0
CTL0103	TC_RS00560	89.19	0.0
CTL0104	TC_RS00565	80.85	0.0
CTL0105	TC_RS00570	84.07	3.999999999999999e-140
CTL0106	TC_RS00575	80.45	2.999999999999999e-175
CTL0107	TC_RS00580	81.62	0.0
CTL0108	TC_RS00585	82.31	0.0
CTL_t13	TC_RS00590	100.0	1e-33
CTL_r01	TC_RS00675	98.39	0.0
CTL_r01	TC_RS00600	98.39	0.0
CTL_r03	TC_RS00605	97.84	0.0
CTL_r03	TC_RS00680	97.81	0.0
CTL_r05	TC_RS00685	97.39	3e-51
CTL_r05	TC_RS00610	97.39	3e-51
CTL0109	TC_RS00620	81.87	0.0
CTL0110	TC_RS00625	87.83	6.999999999999997e-123
CTL0111	TC_RS00630	82.27	0.0
CTL0112	TC_RS00635	85.71	1.9999999999999994e-124
CTL0113	TC_RS00640	75.66	0.0
CTL0114	TC_RS00645	78.81	0.0
CTL0115	TC_RS00650	82.31	0.0
CTL0116	TC_RS00655	80.1	0.0
CTL0117	TC_RS00660	81.79	0.0
CTL0118	TC_RS00665	81.79	0.0
CTL_r02	TC_RS00675	98.39	0.0
CTL_r02	TC_RS00600	98.39	0.0
CTL_r04	TC_RS00605	97.81	0.0
CTL_r04	TC_RS00680	97.77	0.0
CTL_r06	TC_RS00685	97.39	3e-51
CTL_r06	TC_RS00610	97.39	3e-51
CTL0119	TC_RS00690	82.65	0.0
CTL0120	TC_RS00695	82.17	0.0
CTL0121	TC_RS00700	86.78	0.0
CTL0122	TC_RS00705	81.86	2e-57
CTL0123	TC_RS00710	81.65	0.0
CTL0124	TC_RS00715	75.52	0.0
CTL_t08	TC_RS00720	100.0	6e-32
CTL0125	TC_RS00725	80.87	0.0
CTL0126	TC_RS00730	77.03	0.0
CTL0127	TC_RS00735	80.33	0.0
CTL0128	TC_RS00740	80.92	0.0
CTL0129	TC_RS00745	84.23	0.0
CTL0130	TC_RS00750	80.02	0.0
CTL0131	TC_RS00755	78.28	0.0
CTL0132	TC_RS00760	77.62	2.9999999999999998e-90
CTL0133	TC_RS00765	74.35	4.9999999999999985e-148
CTL0134	TC_RS00770	86.79	9.999999999999998e-114
CTL0135	TC_RS00775	81.84	0.0
CTL0136	TC_RS00780	80.46	0.0
CTL0137	TC_RS00785	80.59	0.0
CTL0138	TC_RS00790	89.17	7.999999999999998e-135
CTL0139	TC_RS00795	87.91	0.0
CTL0140	TC_RS00800	90.73	0.0
CTL0141	TC_RS00805	84.6	0.0
CTL0142	TC_RS00810	78.67	0.0
CTL0143	TC_RS00815	78.56	0.0
CTL0144	TC_RS00820	84.91	0.0
CTL0145	TC_RS00825	83.95	0.0
CTL0146	TC_RS00830	75.99	0.0
CTL0147	TC_RS00835	80.73	0.0
CTL0148	TC_RS00840	77.4	1.9999999999999992e-159
CTL0149	TC_RS00845	78.54	2.999999999999999e-116
CTL0150	TC_RS00850	84.61	0.0
CTL0151	TC_RS00855	81.73	0.0
CTL0152	TC_RS00860	76.7	0.0
CTL0153	TC_RS00865	77.51	5.999999999999999e-73
CTL0153A	TC_RS04750	92.03	9e-53
CTL0154	TC_RS00870	93.48	2e-55
CTL0155	TC_RS00875	92.48	2.9999999999999993e-127
CTL0156	TC_RS00880	76.59	7.999999999999998e-105
CTL0157	TC_RS04755	70.07	4e-10
CTL0158	TC_RS00885	85.22	2.999999999999999e-161
CTL0159	TC_RS00890	81.15	0.0
CTL0160	TC_RS00895	83.44	0.0
CTL0161	TC_RS04515	90.0	0.71
CTL0161	TC_RS03865	100.0	0.71
CTL0161	TC_RS02745	95.0	0.71
CTL0162	TC_RS00900	81.29	0.0
