Query	Best Match(es)
CPn0495	{'CT_390': 67.13}
CPn0644	{'CT_525': 74.94}
CPn0787	{'CT_594': 67.79}
CT_764	{'CPn0375': 90.91}
CT_538	{'CPn0658': 76.29}
CPn0546	{'CT_420': 70.49}
CT_t37	{'CPnt37': 96.34}
CT_786	{'CPn0936': 80.43}
CT_820	{'CPn0972': 64.29}
CT_372	{'CPn1033': 64.87}
CT_717	{'CPn0858': 68.43}
CT_539	{'CPn0659': 68.11}
CPn0740	{'CT_637': 66.03}
CPn0758	{'CT_613': 66.36}
CPn0329	{'CT_084': 74.19}
CPn0260	{'CT_141': 65.12}
CT_591	{'CPn0790': 70.52}
CPn0970	{'CT_817': 64.74}
CPn0775	{'CT_606': 66.08}
CPn0846	{'CT_705': 75.47}
CPn0570	{'CT_454': 70.69}
CT_334	{'CPn0040': 69.35}
CT_223	{'CPn0585': 88.89}
CPn0821	{'CT_566': 72.57}
CT_337	{'CPn0037': 72.09}
CPn0811	{'CT_576': 73.57}
CPn0752	{'CT_652': 78.45}
CT_108	{'CPn0137': 65.57}
CPnt13	{'CT_t02': 98.67}
CT_630	{'CPn0750': 71.26}
CPn0331	{'CT_082': 73.18}
CPn1010	{'CT_852': 66.24}
CPn0903	{'CT_760': 69.8}
CPn0631	{'CT_512': 76.45}
CPn0385	{'CT_045': 70.15}
CPnt27	{'CT_t26': 95.89}
CT_678	{'CPn0698': 71.4}
CPn0137	{'CT_108': 65.57}
CT_181	{'CPn0234': 73.71}
CT_663	{'CPn0713': 67.4}
CPn0599	{'CT_480': 70.53}
CT_045	{'CPn0385': 70.13}
CT_124	{'CPn0182': 77.52}
CT_293	{'CPn0058': 73.9}
CPn0994	{'CT_837': 65.52}
CPn0873	{'CT_732': 67.97}
CPnt32	{'CT_t32': 95.95}
CT_130	{'CPn0280': 82.86}
CT_744	{'CPn0887': 74.14}
CT_198	{'CPn0195': 67.96}
CT_403	{'CPn0530': 66.61}
CT_384	{'CPn1019': 100.0}
CPn0265	{'CT_219': 73.26}
CPn0808	{'CT_579': 66.01}
CT_642	{'CPn0770': 68.68}
CPn0743	{'CT_634': 66.49}
CPn0318	{'CT_095': 72.92}
CT_537	{'CPn0657': 82.93}
CPn0549	{'CT_436': 83.33}
CPn0952	{'CT_802': 79.12}
CPn0617	{'CT_498': 70.27}
CT_163	{'CPn0954': 95.65}
CPn0056	{'CT_295': 63.9}
CPn0922	{'CT_776': 64.17}
CPn0782	{'CT_599': 68.85}
CPn0620	{'CT_501': 69.66}
CPn0378	{'CT_054': 69.52}
CPn0730	{'CT_624': 66.28}
CT_754	{'CPn0897': 64.4}
CPn0672	{'CT_551': 66.92}
CPn0525	{'CT_398': 77.68}
CT_111	{'CPn0135': 76.47}
CT_194	{'CPn0286': 73.22}
CPn0806	{'CT_581': 71.31}
CT_586	{'CPn0801': 72.96}
CT_735	{'CPn0876': 65.71}
CPn0417	{'CT_268': 63.82}
CT_015	{'CPn0106': 68.84}
CPn0131	{'CT_047': 81.25}
CPnt16	{'CT_t16': 97.26}
CPn0434	{'CT_283': 65.73}
CPn0293	{'CT_234': 64.57}
CT_251	{'CPn0310': 67.29}
CPn0573	{'CT_457': 73.6}
CT_008	{'CPn1068': 67.66}
CT_420	{'CPn0546': 70.49}
CPn0912	{'CT_768': 68.69}
CT_480	{'CPn0599': 70.53}
CT_762	{'CPn0905': 64.95}
CPn0527	{'CT_400': 73.81}
CPn0733	{'CT_626': 75.91}
CPn0628	{'CT_509': 79.67}
CT_626	{'CPn0733': 75.91}
CPn0868	{'CT_727': 68.08}
CT_553	{'CPn0674': 69.27}
CT_530	{'CPn0649': 67.6}
CPn0536	{'CT_409': 69.43}
CT_289	{'CPn0062': 75.74}
CPn1016	{'CT_858': 67.68}
CT_723	{'CPn0864': 73.2}
CPn0828	{'CT_559': 76.49}
CPn0738	{'CT_639': 76.84}
CPn1000	{'CT_843': 80.49}
CT_639	{'CPn0738': 76.84}
CT_641	{'CPn0736': 67.19}
CT_t06	{'CPnt08': 98.63}
CPnt08	{'CT_t06': 98.63}
CPn0074	{'CT_322': 83.21}
CT_286	{'CPn0437': 75.71}
CT_066	{'CPn0350': 74.25}
CT_425	{'CPn0512': 69.72}
CT_148	{'CPn0151': 67.3}
CT_732	{'CPn0873': 67.97}
CPn0102	{'CT_013': 69.06}
CT_516	{'CPn0635': 77.35}
CT_093	{'CPn0320': 85.71}
CT_776	{'CPn0922': 64.17}
CPn0178	{'CT_036': 95.45}
