Query	Subject	% Similarity	E Value
CT_875	CTL0255	97.86	0.0
CT_001	CTL0256	98.9	9.999999999999998e-137
CT_002	CTL0257	100.0	2.999999999999999e-157
CT_003	CTL0258	99.8	0.0
CT_004	CTL0259	99.86	0.0
CT_005	CTL0260	99.36	0.0
CT_006	CTL0261	99.82	0.0
CT_007	CTL0262	99.37	0.0
CT_008	CTL0263	99.56	0.0
CT_009	CTL0264	100.0	0.0
CT_010	CTL0265	99.85	0.0
CT_011	CTL0266	99.68	0.0
CT_012	CTL0267	99.75	0.0
CT_013	CTL0268	99.33	0.0
CT_014	CTL0269	99.53	0.0
CT_015	CTL0270	99.39	0.0
CT_016	CTL0271	99.04	0.0
CT_017	CTL0272	99.08	0.0
CT_018	CTL0273	98.1	0.0
CT_s01	CTL0007	82.76	0.31
CT_019	CTL0274	99.55	0.0
CT_020	CTL0275	99.47	0.0
CT_021	CTL0276	99.33	0.0
CT_022	CTL0277	99.39	5.9999999999999974e-167
CT_023	CTL0278	99.72	0.0
CT_024	CTL0279	99.77	0.0
CT_025	CTL0280	99.48	0.0
CT_026	CTL0281	100.0	0.0
CT_027	CTL0282	99.24	0.0
CT_028	CTL0283	99.45	0.0
CT_029	CTL0284	99.69	0.0
CT_030	CTL0285	99.84	0.0
CT_031	CTL0286	99.67	9.999999999999998e-156
CT_032	CTL0287	99.52	0.0
CT_033	CTL0288	99.64	0.0
CT_034	CTL0289	99.49	0.0
CT_035	CTL0290	99.22	0.0
CT_036	CTL0291	99.4	0.0
CT_037	CTL0292	98.58	2.999999999999999e-140
CT_t01	CTL_t06	100.0	1.9999999999999998e-32
CT_038	CTL0293	99.42	2.999999999999999e-177
CT_039	CTL0294	99.3	0.0
CT_039.1	CTL0295	99.35	2e-74
CT_040	CTL0296	99.8	0.0
CT_041	CTL0297	99.63	0.0
CT_042	CTL0298	99.75	0.0
CT_043	CTL0299	99.8	0.0
CT_044	CTL0300	100.0	0.0
CT_045	CTL0301	99.2	0.0
CT_046	CTL0302	88.24	0.0
CT_047	CTL0303	99.58	0.0
CT_048	CTL0304	99.58	0.0
CT_049	CTL0305	94.12	0.0
CT_050	CTL0306	95.01	0.0
CT_050	CTL0306	87.5	0.0
CT_051	CTL0307	90.8	0.0
CT_052	CTL0308	99.73	0.0
CT_053	CTL0309	99.78	0.0
CT_054	CTL0310	99.15	0.0
CT_055	CTL0311	99.64	0.0
CT_056	CTL0312	99.73	0.0
CT_057	CTL0313	99.5	0.0
CT_058	CTL0314	97.55	0.0
CT_059	CTL0315	97.83	1.9999999999999993e-134
CT_t02	CTL_t26	100.0	4e-34
CT_060	CTL0316	99.45	0.0
CT_061	CTL0317	99.87	0.0
CT_062	CTL0318	99.68	0.0
CT_063	CTL0319	99.51	0.0
CT_064	CTL0320	99.67	0.0
CT_065	CTL0321	99.68	0.0
CT_066	CTL0322	99.79	0.0
CT_067	CTL0323	99.59	0.0
CT_068	CTL0324	99.87	0.0
CT_069	CTL0325	99.56	0.0
CT_070	CTL0326	99.37	0.0
CT_071	CTL0327	99.47	0.0
CT_072	CTL0328	99.57	0.0
CT_073	CTL0329	99.28	0.0
CT_074	CTL0330	99.64	0.0
CT_075	CTL0331	99.76	0.0
CT_076	CTL0332	99.34	0.0
CT_077	CTL0333	99.58	0.0
CT_078	CTL0334	99.54	0.0
CT_079	CTL0335	99.49	0.0
CT_080	CTL0336	100.0	2.9999999999999987e-152
CT_081	CTL0601	90.48	0.22
CT_082	CTL0338	99.47	0.0
CT_083	CTL0338A	99.59	0.0
CT_084	CTL0339	99.63	0.0
CT_085	CTL0340	99.48	0.0
CT_086	CTL0341	99.63	9.999999999999997e-138
CT_087	CTL0342	99.68	0.0
CT_088	CTL0343	99.77	0.0
CT_089	CTL0344	99.29	0.0
CT_090	CTL0345	99.91	0.0
CT_091	CTL0346	99.35	0.0
CT_092	CTL0347	99.73	0.0
CT_093	CTL0348	98.57	0.0
CT_094	CTL0349	99.45	0.0
CT_095	CTL0350	100.0	0.0
CT_096	CTL0351	98.81	0.0
CT_097	CTL0352	99.31	0.0
CT_098	CTL0353	99.41	0.0
CT_099	CTL0354	99.24	0.0
CT_100	CTL0355	99.44	0.0
CT_101	CTL0356	99.35	0.0
CT_102	CTL0357	99.35	0.0
CT_103	CTL0358	99.44	0.0
CT_104	CTL0359	99.78	0.0
CT_105	CTL0360	96.65	0.0
CT_106	CTL0361	99.39	0.0
CT_107	CTL0362	99.55	0.0
CT_108	CTL0363	99.74	0.0
CT_109	CTL0364	99.87	0.0
CT_110	CTL0365	99.63	0.0
CT_111	CTL0366	98.71	4.999999999999999e-155
CT_112	CTL0367	99.4	0.0
CT_113	CTL0368	99.65	0.0
CT_114	CTL0369	99.32	0.0
CT_115	CTL0370	98.12	0.0
CT_116	CTL0371	96.24	0.0
CT_117	CTL0372	97.78	6.999999999999999e-154
CT_118	CTL0373	98.21	0.0
CT_119	CTL0374	99.33	0.0
CT_120	CTL0375	99.59	1.9999999999999998e-122
CT_121	CTL0376	100.0	0.0
CT_122	CTL0377	99.64	0.0
CT_123	CTL0378	99.6	0.0
CT_124	CTL0379	99.34	0.0
CT_125	CTL0380	100.0	0.0
CT_126	CTL0381	99.23	0.0
CT_127	CTL0382	99.77	0.0
CT_128	CTL0383	99.86	0.0
CT_129	CTL0384	99.69	0.0
CT_130	CTL0385	99.15	0.0
CT_131	CTL0386	99.5	0.0
CT_132	CTL0387	99.77	0.0
CT_133	CTL0388	99.5	0.0
CT_134	CTL0389	99.28	0.0
CT_135	CTL0390	98.98	0.0
CT_136	CTL0391	99.72	0.0
CT_137	CTL0392	99.41	0.0
CT_138	CTL0393	99.79	0.0
CT_139	CTL0394	99.69	0.0
CT_140	CTL0395	99.42	0.0
CT_141	CTL0396	99.78	0.0
CT_t03	CTL_t32	100.0	4.9999999999999996e-33
CT_t04	CTL_t35	100.0	2e-38
CT_142	CTL0397	98.95	0.0
CT_143	CTL0398	98.81	0.0
CT_144	CTL0399	91.71	0.0
CT_145	CTL0400	99.57	0.0
CT_146	CTL0401	99.3	0.0
CT_147	CTL0402	98.76	0.0
CT_148	CTL0403	99.54	0.0
CT_149	CTL0404	99.58	0.0
CT_150	CTL0405	99.37	1e-77
CT_151	CTL0406	99.6	0.0
CT_152	CTL0407	99.85	0.0
CT_153	CTL0408	99.38	0.0
CT_154	CTL0409	98.84	0.0
CT_155	CTL0411	99.36	0.0
CT_156	CTL0411	99.17	1e-56
CT_157	CTL0413	97.21	0.0
CT_158	CTL0414a	98.91	0.0
CT_159	CTL0417a	99.29	1.9999999999999995e-141
CT_160	CTL0417b	98.73	0.0
CT_161	CTL0417	98.52	0.0
CT_162	CTL0418	97.93	9.999999999999999e-117
CT_163	CTL0419	99.2	0.0
CT_163	CTL0419	99.63	0.0
CT_164	CTL0006	95.0	0.054000000000000006
CT_165	CTL0578	100.0	0.33
CT_165	CTL0357	94.74	0.33
CT_166	CTL0803	87.18	7e-05
CT_167	CTL0420	97.45	2.9999999999999998e-90
CT_168	CTL0421	99.01	8.999999999999997e-152
CT_169	CTL0422	99.3	9.999999999999997e-145
CT_170	CTL0423	99.92	0.0
CT_171	CTL0424	99.21	0.0
CT_172	CTL0425	98.99	0.0
CT_172.1	CTL0426	99.36	5e-76
CT_173	CTL0557	94.44	0.69
CT_174	CTL0426A	99.27	3.999999999999999e-64
CT_175	CTL0427	99.75	0.0
CT_176	CTL0428	99.75	0.0
CT_177	CTL0429	99.58	0.0
CT_178	CTL0430	99.51	0.0
CT_179	CTL0431	99.61	0.0
CT_180	CTL0432	99.28	0.0
CT_t05	CTL_t14	100.0	1e-33
CT_t06	CTL_t02	100.0	4.9999999999999996e-33
CT_181	CTL0433	99.44	0.0
CT_182	CTL0434	98.95	0.0
CT_183	CTL0435	99.63	0.0
CT_184	CTL0436	99.78	0.0
CT_185	CTL0437	99.39	0.0
CT_186	CTL0438	99.48	0.0
CT_187	CTL0439	99.54	0.0
CT_188	CTL0440	99.51	0.0
CT_189	CTL0441	99.56	0.0
CT_190	CTL0442	99.59	0.0
CT_191	CTL0443	99.15	7.999999999999996e-179
CT_192	CTL0444	98.42	0.0
CT_193	CTL0445	99.73	0.0
CT_194	CTL0446	99.65	0.0
CT_195	CTL0447	99.18	0.0
CT_196	CTL0448	99.07	9.999999999999997e-163
CT_197	CTL0449	99.61	0.0
CT_198	CTL0450	99.55	0.0
CT_199	CTL0451	99.47	0.0
CT_200	CTL0452	99.65	0.0
CT_201	CTL0453	99.4	0.0
CT_202	CTL0454	99.33	0.0
CT_203	CTL0455	99.87	0.0
CT_204	CTL0456	99.58	0.0
CT_205	CTL0457	99.7	0.0
CT_206	CTL0458	99.65	0.0
CT_207	CTL0459	99.7	0.0
CT_t07	CTL_t22	100.0	1e-33
CT_t08	CTL_t23	100.0	4.9999999999999996e-33
CT_208	CTL0460	99.61	0.0
CT_209	CTL0461	99.43	0.0
CT_210	CTL0462	99.05	0.0
CT_211	CTL0463	99.47	0.0
CT_212	CTL0464	99.33	0.0
CT_213	CTL0465	99.86	0.0
CT_214	CTL0466	99.21	0.0
CT_215	CTL0467	99.52	0.0
CT_216	CTL0468	99.43	0.0
CT_217	CTL0469	99.72	0.0
CT_218	CTL0470	99.53	0.0
CT_219	CTL0471	99.67	0.0
CT_220	CTL0472	99.65	0.0
CT_221	CTL0473	99.67	0.0
CT_t09	CTL_t07	100.0	1e-33
CT_t10	CTL_t37	100.0	4.9999999999999996e-33
CT_221.1	CTL0474	99.29	5.999999999999998e-68
CT_223	CTL0476	95.45	0.0
CT_224	CTL0477	99.55	0.0
CT_225	CTL0477A	99.73	0.0
CT_226	CTL0478	99.03	0.0
CT_227	CTL0479	99.25	0.0
CT_228	CTL0480	98.48	0.0
CT_229	CTL0481	96.6	0.0
CT_230	CTL0482	99.36	0.0
CT_231	CTL0483	99.59	0.0
CT_232	CTL0484	99.14	2.999999999999999e-177
CT_233	CTL0485	98.88	0.0
CT_234	CTL0486	99.5	0.0
CT_235	CTL0487	99.28	0.0
CT_236	CTL0488	99.57	2.999999999999999e-118
CT_237	CTL0489	99.6	0.0
CT_238	CTL0490	99.35	0.0
CT_239	CTL0491	99.69	0.0
CT_240	CTL0492	98.84	0.0
CT_241	CTL0493	99.37	0.0
CT_242	CTL0494	100.0	0.0
CT_243	CTL0495	99.72	0.0
CT_244	CTL0496	99.16	0.0
CT_245	CTL0497	99.9	0.0
CT_246	CTL0498	99.59	0.0
CT_247	CTL0499	99.38	0.0
CT_248	CTL0500	99.84	0.0
CT_249	CTL0500A	97.72	2.9999999999999987e-172
CT_250	CTL0501	99.34	0.0
CT_251	CTL0503	99.49	0.0
CT_252	CTL0504	99.63	0.0
CT_253	CTL0505	100.0	0.0
CT_254	CTL0506	98.7	0.0
CT_255	CTL0507	98.96	0.0
CT_256	CTL0508	99.76	0.0
CT_257	CTL0509	99.18	0.0
CT_258	CTL0510	99.73	0.0
CT_259	CTL0511	99.6	0.0
CT_260	CTL0512	99.59	0.0
CT_261	CTL0513	99.86	0.0
CT_262	CTL0514	99.48	0.0
CT_263	CTL0515	99.49	0.0
CT_264	CTL0516	99.48	0.0
CT_265	CTL0517	99.49	0.0
CT_266	CTL0518	99.49	0.0
CT_267	CTL0519	100.0	2.999999999999999e-157
CT_268	CTL0520	100.0	0.0
CT_269	CTL0521	99.24	0.0
CT_270	CTL0522	99.79	0.0
CT_271	CTL0523	99.65	1.9999999999999994e-147
CT_272	CTL0524	99.45	0.0
CT_273	CTL0525	99.65	0.0
CT_274	CTL0526	100.0	0.0
