Query	Subject	% Similarity	E Value
CPn0001	TC_RS01360	71.43	5e-09
CPn0002	TC_RS03720	95.0	0.067
CPn0003	TC_RS01370	69.43	2.999999999999999e-147
CPn0004	TC_RS01375	70.26	0.0
CPn0005	TC_RS01325	85.71	0.18
CPn0005	TC_RS00555	88.89	0.18
CPn0006	TC_RS03060	100.0	0.39
CPn0006	TC_RS01790	90.0	0.39
CPn0007	TC_RS02945	100.0	0.19
CPn0008	TC_RS03140	79.41	0.56
CPn0008	TC_RS01615	90.48	0.56
CPn0008	TC_RS00975	80.65	0.56
CPn0009	TC_RS03790	95.0	0.3
CPn0010.1	TC_RS00985	81.58	0.013000000000000001
CPn0012	TC_RS01655	86.67	0.008
CPn0013	TC_RS03930	100.0	0.58
CPn0014	TC_RS01335	75.9	2e-07
CPn0016	TC_RS01335	70.0	0.001
CPn0018	TC_RS01335	68.32	0.004
CPn0020	TC_RS03190	67.92	2.999999999999999e-92
CPn0021	TC_RS03185	68.77	2e-18
CPn0022	TC_RS03180	71.91	2e-06
CPn0023	TC_RS03175	75.19	0.0
CPn0024	TC_RS03170	68.04	2.9999999999999994e-56
CPn0025	TC_RS03165	70.32	1.9999999999999998e-110
CPn0026	TC_RS02925	88.0	0.69
CPn0027	TC_RS03155	73.95	0.0
CPn0028	TC_RS01470	94.44	2.2
CPn0028	TC_RS01290	100.0	2.2
CPn0028	TC_RS01160	100.0	2.2
CPn0028	TC_RS00910	100.0	2.2
CPn0028	TC_RS00780	94.44	2.2
CPn0029	TC_RS04390	100.0	0.99
CPn0029	TC_RS03505	94.44	0.99
CPn0029	TC_RS03495	100.0	0.99
CPn0029	TC_RS01830	84.0	0.99
CPn0029	TC_RS01320	100.0	0.99
CPn0030	TC_RS03150	66.46	2e-18
CPn0031	TC_RS03145	82.49	1e-46
CPn0032	TC_RS03140	76.29	0.0
CPn0033	TC_RS03135	70.1	0.0
CPn0034	TC_RS03630	88.0	0.29
CPn0035	TC_RS02605	90.91	0.34
CPn0036	TC_RS03125	77.78	2e-08
CPn0037	TC_RS03115	76.34	2.0000000000000002e-21
CPn0038	TC_RS03110	68.67	3.999999999999999e-71
CPn0039	TC_RS03105	70.0	8.999999999999999e-32
CPn0040	TC_RS03100	71.98	2.999999999999999e-84
CPn0041	TC_RS03335	100.0	0.31
CPn0041	TC_RS03270	90.91	0.31
CPn0041	TC_RS01915	90.91	0.31
CPn0042	TC_RS04305	90.91	0.18
CPn0043	TC_RS03900	91.67	0.036000000000000004
CPn0044	TC_RS04230	90.48	0.28
