Query	Subject	% Similarity	E Value	Length
CTL0001	TC_RS00005	80.38	0.0	999
CTL0002	TC_RS00010	81.94	0.0	1384
CTL0003	TC_RS00015	85.06	9.999999999999998e-140	435
CTL0004	TC_RS00020	80.81	0.0	2147
CTL_t01	TC_RS00025	100.0	4.9999999999999996e-33	73
CTL0005	TC_RS00030	82.54	0.0	1203
CTL0006	TC_RS00035	80.99	0.0	1010
CTL0007	TC_RS00040	78.24	0.0	3079
CTL0008	TC_RS00045	78.77	0.0	3015
CTL0009	TC_RS00050	79.89	0.0	1671
CTL0010	TC_RS00055	78.82	0.0	817
CTL0011	TC_RS00065	81.52	0.0	2597
CTL0012	TC_RS00070	81.69	0.0	972
CTL0013	TC_RS00075	87.88	4.999999999999999e-105	297
CTL0014	TC_RS00080	76.16	0.0	1384
CTL0015	TC_RS00085	72.23	9.999999999999999e-84	551
CTL0016	TC_RS00090	78.94	0.0	1277
CTL0017	TC_RS00095	74.46	5e-89	509
CTL0018	TC_RS00100	85.43	0.0	1064
CTL0019	TC_RS00105	76.52	0.0	1831
CTL0020	TC_RS00110	77.37	0.0	1498
CTL0021	TC_RS00115	81.11	2e-44	180
CTL0022	TC_RS00120	84.72	0.0	720
CTL0023	TC_RS00125	82.62	2.999999999999999e-142	489
CTL0024	TC_RS00130	82.22	0.0	810
CTL_t03	TC_RS00135	100.0	4.9999999999999996e-33	73
CTL0025	TC_RS00140	67.97	6e-21	281
CTL0026	TC_RS00145	70.95	1e-23	210
CTL0027	TC_RS00150	82.32	0.0	973
CTL0028	TC_RS00155	90.3	5.9999999999999995e-90	237
CTL0029	TC_RS00160	82.33	0.0	1398
CTL0030	TC_RS00165	80.86	0.0	1818
CTL0031	TC_RS00170	73.41	9.999999999999998e-164	989
CTL0032	TC_RS00175	88.56	1.9999999999999995e-148	402
CTL0033	TC_RS00180	80.13	0.0	2501
CTL0034	TC_RS00185	87.84	2.999999999999999e-88	255
CTL0035	TC_RS00190	87.55	6.999999999999998e-83	241
CTL0036	TC_RS00195	82.18	9.999999999999996e-128	449
CTL0037	TC_RS00200	80.21	7.999999999999997e-176	672
CTL0038	TC_RS00205	85.4	0.0	1329
CTL0039	TC_RS00210	89.74	0.0	507
CTL0040	TC_RS00215	76.46	0.0	854
CTL0041	TC_RS00220	84.15	0.0	1123
CTL0042	TC_RS00225	81.81	0.0	1462
CTL0043	TC_RS00230	82.43	0.0	2766
CTL_t31	TC_RS00235	100.0	4.9999999999999996e-33	73
CTL0044	TC_RS00240	79.37	0.0	1071
CTL0045	TC_RS00245	81.25	3.999999999999999e-140	512
CTL_t20	TC_RS00250	98.63	1.9999999999999997e-31	73
CTL_t10	TC_RS00255	100.0	4e-34	75
CTL0046	TC_RS00260	85.19	4.999999999999998e-177	540
CTL0047	TC_RS00265	84.01	0.0	738
CTL0048	TC_RS00270	84.33	0.0	849
CTL0049	TC_RS00275	84.48	0.0	844
CTL_t11	TC_RS00280	100.0	6e-32	71
CTL0050	TC_RS00285	79.07	0.0	1185
CTL0051	TC_RS00290	81.15	0.0	3241
CTL0052	TC_RS00295	83.93	0.0	1008
CTL0053	TC_RS00300	83.4	0.0	1452
CTL0054	TC_RS00305	80.62	0.0	769
CTL0055	TC_RS00310	73.31	0.0	1184
CTL0056	TC_RS00315	78.54	0.0	1202
CTL0057	TC_RS00320	80.96	0.0	835
CTL0058	TC_RS00325	78.86	0.0	809
CTL0059	TC_RS00330	79.46	0.0	969
CTL0060	TC_RS00335	84.44	0.0	675
CTL0061	TC_RS00340	80.72	0.0	1281
CTL0062	TC_RS00345	80.45	0.0	1212
CTL0063	TC_RS00350	68.8	3.999999999999999e-80	827
CTL0064	TC_RS00355	72.64	0.0	1199
CTL0065	TC_RS00360	81.2	0.0	1181
CTL0066	TC_RS00365	78.49	6.999999999999997e-145	609
CTL0067	TC_RS00370	82.76	0.0	1334
CTL0068	TC_RS00380	74.75	3.999999999999999e-169	911
CTL0069	TC_RS00385	82.81	0.0	1326
CTL0070	TC_RS00390	83.25	0.0	2901
CTL0071	TC_RS00395	82.58	1.9999999999999993e-156	534
CTL0072	TC_RS00400	83.91	0.0	1473
CTL0073	TC_RS00405	78.99	0.0	1233
CTL0074	TC_RS00410	86.03	0.0	1260
CTL0075	TC_RS00415	87.91	0.0	612
CTL0076	TC_RS00420	83.6	0.0	1329
CTL_t12	TC_RS00425	100.0	1.9999999999999998e-32	72
CTL0077	TC_RS00430	85.65	0.0	3491
CTL0078	TC_RS00435	86.47	0.0	1101
CTL0079	TC_RS00440	83.3	0.0	1802
CTL0080	TC_RS00445	76.42	0.0	2316
CTL0081	TC_RS00450	80.34	0.0	1160
CTL0082	TC_RS00455	82.31	0.0	1023
CTL0082a	TC_RS00455	93.59	1e-28	78
CTL0083	TC_RS00460	82.09	0.0	1005
CTL0084	TC_RS00465	78.83	0.0	1370
CTL0085	TC_RS00470	76.58	5.999999999999999e-73	363
CTL0086	TC_RS00475	81.09	0.0	1306
CTL0087	TC_RS00480	79.24	2.999999999999999e-129	525
CTL0088	TC_RS00485	79.62	0.0	1001
CTL0089	TC_RS00490	78.93	0.0	783
CTL0090	TC_RS00495	78.01	0.0	1155
CTL0091	TC_RS00500	83.41	0.0	681
CTL0092	TC_RS00505	83.76	0.0	708
