Query	Best Match(es)
CPn0085	{'CT_311': 70.78}
CPn0054	{'CT_297': 66.29}
CT_607	{'CPn0773': 72.52}
CPn0884	{'CT_741': 75.92}
CPn0345	{'CT_071': 66.0}
CT_819	{'CPn0971': 68.27}
CT_087	{'CPn0326': 66.95}
CT_346	{'CPn0025': 68.95}
CPn0787	{'CT_594': 67.79}
CT_259	{'CPn0397': 65.98}
CT_404	{'CPn0531': 66.48}
CT_635	{'CPn0742': 75.0}
CT_615	{'CPn0756': 80.1}
CT_406	{'CPn0533': 76.69}
CT_423	{'CPn0510': 70.44}
CPn0024	{'CT_347': 68.7}
CPn0380	{'CT_052': 67.69}
CT_791	{'CPn0940': 66.72}
CPn0527	{'CT_400': 73.81}
CT_043	{'CPn0387': 80.95}
CPn0691	{'CT_685': 67.09}
CPn0350	{'CT_066': 74.25}
CPn0864	{'CT_723': 73.2}
CT_352	{'CPn1066': 78.5}
CPn1068	{'CT_008': 67.74}
CPn0104	{'CT_017': 66.89}
CT_862	{'CPn1021': 73.19}
CT_478	{'CPn0597': 73.36}
CPnt26	{'CT_t27': 97.26}
CPn0937	{'CT_787': 81.05}
CT_436	{'CPn0549': 83.33}
CPn0682	{'CT_690': 68.87}
CT_124	{'CPn0182': 77.52}
CT_355	{'CPn1058': 68.81}
CT_197	{'CPn0194': 66.37}
CT_015	{'CPn0106': 68.84}
CPn0936	{'CT_786': 80.43}
CT_409	{'CPn0536': 69.43}
CT_205	{'CPn0208': 68.01}
CT_776	{'CPn0922': 64.17}
CT_020	{'CPn0110': 66.33}
CT_318	{'CPn0078': 75.43}
CT_075	{'CPn0338': 74.41}
CT_126	{'CPn0246': 73.91}
CT_177	{'CPn0228': 70.4}
CT_085	{'CPn0328': 67.18}
CT_633	{'CPn0744': 66.59}
CT_678	{'CPn0698': 71.4}
CT_569	{'CPn0818': 73.93}
CPn0542	{'CT_416': 65.9}
CPn1000	{'CT_843': 80.49}
CPn0184	{'CT_122': 74.51}
CPn0828	{'CT_559': 76.49}
CPn0529	{'CT_402': 75.0}
CPn0083	{'CT_313': 72.96}
CT_078	{'CPn0335': 68.88}
CPn1048	{'CT_363': 67.69}
CT_054	{'CPn0378': 69.52}
CT_792	{'CPn0941': 66.88}
CPn0903	{'CT_760': 69.8}
CPn1025	{'CT_378': 69.07}
CT_693	{'CPn0679': 67.92}
CPn0509	{'CT_422': 70.98}
CT_272	{'CPn0421': 68.41}
CPn0386	{'CT_044': 73.47}
CT_017	{'CPn0104': 66.89}
CPn0855	{'CT_714': 68.74}
CPn0100	{'CT_011': 66.26}
CT_496	{'CPn0615': 66.93}
CPn0307	{'CT_248': 70.84}
CPnt29	{'CT_t24': 98.65}
CPn0838	{'CT_698': 67.45}
CPn0629	{'CT_510': 73.13}
CPn0786	{'CT_595': 67.13}
CPn0185	{'CT_121': 69.23}
CT_420	{'CPn0546': 70.49}
CPn0761	{'CT_610': 66.86}
CT_416	{'CPn0542': 65.9}
CPn0769	{'CT_643': 69.57}
CPn0441	{'CT_007': 68.72}
CT_150	{'CPn0250': 85.44}
CT_245	{'CPn0304': 71.85}
CPn0719	{'CT_658': 70.9}
CPn0116	{'CT_026': 76.9}
CT_536	{'CPn0655': 69.25}
CT_276	{'CPn0425': 74.65}
CPn0025	{'CT_346': 68.95}
CT_837	{'CPn0994': 65.52}
CT_342	{'CPn0031': 82.39}
CT_151	{'CPn0249': 66.8}
CPn0304	{'CT_245': 71.85}
CPn0911	{'CT_767': 70.3}
CPn0851	{'CT_710': 74.42}
CT_123	{'CPn0183': 72.43}
CT_704	{'CPn0845': 70.13}
CT_526	{'CPn0645': 69.85}
CT_069	{'CPn0347': 64.92}
CT_583	{'CPn0804': 69.92}
CT_062	{'CPn0361': 70.1}
CT_270	{'CPn0419': 68.36}
CPn0624	{'CT_505': 71.92}
CT_688	{'CPn0684': 71.54}
CPn0999	{'CT_842': 71.09}
CPn0361	{'CT_062': 70.1}
CT_486	{'CPn0604': 68.29}
CT_653	{'CPn0723': 74.72}
CPn0772	{'CT_608': 65.26}
CT_705	{'CPn0846': 75.47}
CPn0545	{'CT_419': 78.06}
CT_431	{'CPn0520': 77.31}
CT_591	{'CPn0790': 70.52}
CPn0289	{'CT_230': 70.51}
CPn0586	{'CT_468': 69.68}
CPn0951	{'CT_801': 78.04}
CT_707	{'CPn0848': 68.06}
