Query	Subject	% Similarity	E Value
TC_RS00005	CT_633	80.38	0.0
TC_RS00010	CT_634	81.94	0.0
TC_RS00015	CT_635	85.06	9.999999999999998e-140
TC_RS00020	CT_636	80.9	0.0
TC_RS00025	CT_t25	100.0	4.9999999999999996e-33
TC_RS00030	CT_637	82.29	0.0
TC_RS00035	CT_638	79.58	0.0
TC_RS00040	CT_639	78.31	0.0
TC_RS00045	CT_640	78.24	0.0
TC_RS00050	CT_641	80.13	0.0
TC_RS00055	CT_642	79.31	0.0
TC_RS00060	CT_643	100.0	0.001
TC_RS00065	CT_643	81.56	0.0
TC_RS00070	CT_644	81.4	0.0
TC_RS00075	CT_645	87.54	1.9999999999999994e-103
TC_RS00080	CT_646	76.17	0.0
TC_RS00085	CT_647	72.41	2.9999999999999996e-85
TC_RS00090	CT_648	79.01	0.0
TC_RS00095	CT_649	74.26	5.999999999999998e-88
TC_RS00100	CT_650	85.24	0.0
TC_RS00105	CT_651	76.41	0.0
TC_RS00110	CT_652	76.94	0.0
TC_RS00115	CT_652.1	81.11	2e-44
TC_RS00120	CT_653	84.31	0.0
TC_RS00125	CT_654	83.06	1.9999999999999992e-143
TC_RS00130	CT_655	82.47	0.0
TC_RS00135	CT_t26	100.0	4.9999999999999996e-33
TC_RS00140	CT_656	67.62	3e-19
TC_RS00145	CT_657	70.95	1e-23
TC_RS00150	CT_658	82.22	0.0
TC_RS00155	CT_659	90.3	5.9999999999999995e-90
TC_RS00160	CT_660	81.83	0.0
TC_RS00165	CT_661	80.75	0.0
TC_RS00170	CT_662	73.56	6.999999999999999e-166
TC_RS00175	CT_663	88.56	1.9999999999999995e-148
TC_RS00180	CT_664	80.04	0.0
TC_RS00185	CT_665	88.63	4.999999999999999e-91
TC_RS00190	CT_666	87.97	4.999999999999999e-84
TC_RS00195	CT_667	81.74	5.999999999999998e-125
TC_RS00200	CT_668	80.06	9.999999999999998e-175
TC_RS00205	CT_669	85.55	0.0
TC_RS00210	CT_670	89.35	0.0
TC_RS00215	CT_671	76.46	0.0
TC_RS00220	CT_672	83.97	0.0
TC_RS00225	CT_673	81.87	0.0
TC_RS00230	CT_674	82.0	0.0
TC_RS00235	CT_t27	100.0	4.9999999999999996e-33
TC_RS00240	CT_675	79.27	0.0
TC_RS00245	CT_676	81.05	1.9999999999999995e-138
TC_RS00250	CT_t28	98.63	1.9999999999999997e-31
TC_RS00255	CT_t29	100.0	4e-34
TC_RS00260	CT_677	84.84	9.999999999999998e-173
TC_RS00265	CT_678	83.74	0.0
TC_RS00270	CT_679	83.51	0.0
TC_RS00275	CT_680	83.27	0.0
TC_RS00280	CT_t30	100.0	6e-32
TC_RS00285	CT_681	79.43	0.0
TC_RS00290	CT_682	81.09	0.0
TC_RS00295	CT_683	83.53	0.0
TC_RS00300	CT_684	83.4	0.0
TC_RS00305	CT_685	80.36	0.0
TC_RS00310	CT_686	73.23	0.0
TC_RS00315	CT_687	78.7	0.0
TC_RS00320	CT_688	80.84	0.0
TC_RS00325	CT_689	78.86	0.0
TC_RS00330	CT_690	79.52	0.0
TC_RS00335	CT_691	84.44	0.0
TC_RS00340	CT_692	80.64	0.0
TC_RS00345	CT_693	80.03	0.0
TC_RS00350	CT_694	68.24	1.9999999999999998e-78
TC_RS00355	CT_695	72.48	0.0
TC_RS00360	CT_696	81.2	0.0
TC_RS00365	CT_697	78.33	7.999999999999997e-144
TC_RS00370	CT_698	82.61	0.0
TC_RS00375	CT_683	100.0	0.21
TC_RS00380	CT_699	74.86	2.9999999999999987e-170
TC_RS00385	CT_700	82.58	0.0
TC_RS00390	CT_701	83.01	0.0
TC_RS00395	CT_702	82.77	1.9999999999999996e-157
TC_RS00400	CT_703	83.91	0.0
TC_RS00405	CT_704	78.99	0.0
TC_RS00410	CT_705	86.03	0.0
TC_RS00415	CT_706	87.75	0.0
TC_RS00420	CT_707	83.75	0.0
TC_RS00425	CT_t31	100.0	1.9999999999999998e-32
TC_RS04745	CT_478	94.44	0.48
TC_RS04745	CT_235	100.0	0.48
TC_RS00430	CT_708	85.82	0.0
TC_RS00435	CT_709	86.47	0.0
TC_RS00440	CT_710	83.02	0.0
TC_RS00445	CT_711	76.38	0.0
TC_RS00450	CT_712	80.17	0.0
TC_RS00455	CT_713	82.11	0.0
TC_RS00460	CT_714	81.89	0.0
TC_RS00465	CT_715	78.88	0.0
TC_RS00470	CT_716	76.58	5.999999999999999e-73
TC_RS00475	CT_717	81.07	0.0
TC_RS00480	CT_718	79.81	9.999999999999999e-134
TC_RS00485	CT_719	79.72	0.0
TC_RS00490	CT_720	78.93	0.0
TC_RS00495	CT_721	78.1	0.0
TC_RS00500	CT_722	83.41	0.0
TC_RS00505	CT_723	83.76	0.0
TC_RS00510	CT_724	71.43	6.999999999999999e-68
TC_RS00515	CT_725	75.41	1.9999999999999996e-106
TC_RS00520	CT_726	81.75	0.0
TC_RS00525	CT_727	81.56	0.0
TC_RS00530	CT_728	78.31	5.999999999999999e-178
TC_RS00535	CT_729	82.83	0.0
TC_RS00540	CT_730	77.48	0.0
TC_RS00545	CT_731	80.16	0.0
TC_RS00550	CT_732	75.47	2.9999999999999997e-91
TC_RS00555	CT_733	79.75	0.0
TC_RS00560	CT_734	88.89	0.0
TC_RS00565	CT_735	80.99	0.0
TC_RS00570	CT_736	84.51	6.999999999999997e-143
TC_RS00575	CT_737	80.45	2.999999999999999e-175
TC_RS00580	CT_738	81.62	0.0
TC_RS00585	CT_739	82.23	0.0
TC_RS00590	CT_t32	100.0	1e-33
TC_RS00595	CT_333	76.19	0.051
TC_RS00600	CT_r04	98.39	0.0
TC_RS00600	CT_r01	98.39	0.0
TC_RS00605	CT_r05	97.91	0.0
TC_RS00605	CT_r02	97.81	0.0
TC_RS00610	CT_r06	98.26	6.999999999999999e-53
TC_RS00610	CT_r03	98.26	6.999999999999999e-53
TC_RS00615	CT_734	90.48	0.27
TC_RS00620	CT_740	81.94	0.0
TC_RS00625	CT_741	88.12	4.9999999999999995e-124
TC_RS00630	CT_742	82.18	0.0
TC_RS00635	CT_743	85.71	1.9999999999999994e-124
TC_RS00640	CT_744	75.52	0.0
TC_RS00645	CT_745	78.58	0.0
TC_RS00650	CT_746	82.31	0.0
TC_RS00655	CT_747	80.1	0.0
TC_RS00660	CT_748	81.67	0.0
TC_RS00665	CT_749	81.57	0.0
TC_RS00670	CT_333	76.19	0.059000000000000004
TC_RS00675	CT_r04	98.39	0.0
TC_RS00675	CT_r01	98.39	0.0
TC_RS00680	CT_r05	97.87	0.0
TC_RS00680	CT_r02	97.77	0.0
TC_RS00685	CT_r06	98.26	6.999999999999999e-53
TC_RS00685	CT_r03	98.26	6.999999999999999e-53
TC_RS00690	CT_750	82.5	0.0
TC_RS00695	CT_751	82.17	0.0
TC_RS00700	CT_752	87.43	0.0
TC_RS00705	CT_753	81.86	2e-57
TC_RS00710	CT_754	81.65	0.0
TC_RS00715	CT_755	75.58	0.0
TC_RS00720	CT_t33	100.0	6e-32
TC_RS00725	CT_756	80.73	0.0
TC_RS00730	CT_757	76.73	0.0
TC_RS00735	CT_758	80.33	0.0
TC_RS00740	CT_759	81.19	0.0
TC_RS00745	CT_760	84.04	0.0
TC_RS00750	CT_761	79.98	0.0
TC_RS00755	CT_762	78.36	0.0
TC_RS00760	CT_763	77.13	9.999999999999998e-88
TC_RS00765	CT_764	74.35	4.9999999999999985e-148
TC_RS00770	CT_765	86.49	3.9999999999999993e-112
TC_RS00775	CT_766	81.65	0.0
TC_RS00780	CT_767	80.46	0.0
TC_RS00785	CT_768	81.0	0.0
TC_RS00790	CT_769	89.17	7.999999999999998e-135
TC_RS00795	CT_770	87.99	0.0
TC_RS00800	CT_771	90.29	9.999999999999997e-179
TC_RS00805	CT_772	84.76	0.0
TC_RS00810	CT_773	78.77	0.0
TC_RS00815	CT_774	78.16	0.0
TC_RS00820	CT_775	85.04	0.0
TC_RS00825	CT_776	83.83	0.0
TC_RS00830	CT_777	75.55	0.0
TC_RS00835	CT_778	80.65	0.0
TC_RS00840	CT_779	78.29	4.999999999999999e-166
TC_RS00845	CT_780	78.74	2.9999999999999992e-117
TC_RS00850	CT_781	84.8	0.0
TC_RS00855	CT_782	81.8	0.0
TC_RS00860	CT_783	76.89	0.0
TC_RS00865	CT_784	77.81	4.999999999999999e-74
TC_RS04750	CT_785	92.75	1.9999999999999998e-54
TC_RS00870	CT_786	93.48	2e-55
TC_RS00875	CT_787	92.16	2.9999999999999995e-126
TC_RS00880	CT_788	76.39	2.999999999999999e-103
TC_RS04755	CT_789	69.34	4e-09
TC_RS00885	CT_790	85.02	2.9999999999999993e-160
TC_RS00890	CT_791	81.19	0.0
TC_RS00895	CT_792	83.44	0.0
TC_RS00900	CT_794	81.4	0.0
TC_RS00905	CT_794.1	78.44	5e-60
TC_RS00910	CT_795	71.37	9.999999999999998e-64
TC_RS00915	CT_796	79.82	0.0
TC_RS00920	CT_797	81.44	1.9999999999999995e-169
TC_RS00925	CT_798	81.82	0.0
TC_RS00930	CT_t34	100.0	1.9999999999999998e-32
TC_RS04760	CT_230	91.3	0.011000000000000001
TC_RS00935	CT_799	88.53	0.0
TC_RS00940	CT_800	79.81	2.999999999999999e-135
TC_RS00945	CT_801	95.87	9.999999999999998e-158
TC_RS00950	CT_802	95.53	3.999999999999999e-111
TC_RS00955	CT_803	89.86	0.0
TC_RS00960	CT_804	74.76	9.999999999999997e-157
TC_RS00965	CT_452	86.96	0.5
TC_RS00970	CT_805	81.57	0.0
TC_RS00975	CT_806	78.87	0.0
TC_RS00980	CT_807	83.05	0.0
TC_RS00985	CT_808	85.45	0.0
TC_RS00990	CT_809	79.53	2.9999999999999993e-71
TC_RS04765	CT_810	93.89	2e-75
TC_RS00995	CT_811	80.65	0.0
TC_RS01000	CT_812	74.85	0.0
TC_RS01005	CT_813	69.47	2e-26
TC_RS01010	CT_814	83.95	7e-90
TC_RS01015	CT_814.1	78.79	6.999999999999998e-85
TC_RS01020	CT_815	83.1	0.0
TC_RS01025	CT_816	79.45	0.0
TC_RS01030	CT_817	82.12	0.0
TC_RS01035	CT_818	79.71	0.0
TC_RS01040	CT_819	81.31	0.0
TC_RS01045	CT_820	79.42	0.0
TC_RS01050	CT_821	81.84	0.0
TC_RS01055	CT_822	81.06	0.0
TC_RS01060	CT_823	82.2	0.0
TC_RS01065	CT_824	82.14	0.0
TC_RS01070	CT_825	82.02	0.0
TC_RS01075	CT_826	80.93	0.0
TC_RS04770	CT_580	94.12	1.9
TC_RS04770	CT_144	94.12	1.9
TC_RS04770	CT_136	89.47	1.9
TC_RS01080	CT_827	83.97	0.0
TC_RS01085	CT_828	86.25	0.0
TC_RS04775	CT_829	80.14	1.9999999999999996e-146
TC_RS01090	CT_t35	100.0	1e-33
TC_RS01095	CT_830	78.1	9.999999999999997e-135
TC_RS01100	CT_831	79.13	0.0
TC_RS01105	CT_832	80.48	8.999999999999998e-117
TC_RS01110	CT_833	92.42	0.0
TC_RS01115	CT_834	98.97	4.999999999999998e-96
TC_RS01120	CT_835	88.14	2.9999999999999995e-134
TC_RS01125	CT_836	86.2	0.0
TC_RS01130	CT_t36	100.0	5.999999999999999e-39
TC_RS01135	CT_837	80.63	0.0
TC_RS01140	CT_838	81.83	0.0
TC_RS01145	CT_839	84.98	0.0
TC_RS01150	CT_840	77.88	0.0
TC_RS01155	CT_841	85.38	0.0
TC_RS01160	CT_842	83.19	0.0
TC_RS01165	CT_843	96.28	2.999999999999999e-125
TC_RS01170	CT_844	86.97	1.9999999999999995e-163
TC_RS01175	CT_845	82.19	2e-58
TC_RS01180	CT_846	80.57	0.0
TC_RS01185	CT_847	77.93	2.9999999999999992e-117
TC_RS01190	CT_848	82.49	5.999999999999999e-144
TC_RS01195	CT_849	82.29	1.9999999999999995e-137
TC_RS01200	CT_849.1	89.42	1.9999999999999997e-68
TC_RS01205	CT_850	73.97	0.0
TC_RS01210	CT_851	83.94	0.0
TC_RS01215	CT_852	76.77	2.999999999999999e-130
TC_RS01220	CT_853	77.0	7.999999999999998e-131
TC_RS01225	CT_854	77.92	0.0
TC_RS01230	CT_855	83.05	0.0
TC_RS01235	CT_856	84.36	0.0
TC_RS01240	CT_857	82.26	5e-11
TC_RS01245	CT_857	82.78	0.0
TC_RS01250	CT_858	78.96	0.0
TC_RS01255	CT_859	79.78	0.0
TC_RS01260	CT_860	74.87	9.999999999999997e-179
TC_RS01265	CT_861	73.59	0.0
TC_RS01270	CT_862	83.82	2.9999999999999993e-160
TC_RS01275	CT_863	69.91	7.999999999999998e-174
TC_RS01280	CT_t37	98.78	2.9999999999999995e-36
TC_RS01285	CT_696	100.0	0.23
TC_RS01285	CT_314	94.74	0.23
TC_RS01290	CT_864	80.93	0.0
TC_RS01295	CT_865	79.19	0.0
