Query	Subject	% Similarity	E Value
CTL0001	CPn0744	66.46	5.999999999999999e-54
CTL0002	CPn0743	66.49	9.999999999999999e-90
CTL0003	CPn0742	74.77	2e-75
CTL0004	CPn0741	68.03	5.999999999999999e-77
CTL_t01	CPnt28	98.63	1.9999999999999997e-31
CTL0005	CPn0740	66.3	2e-23
CTL0006	CPn0739	71.36	1e-25
CTL0007	CPn0738	76.84	1e-30
CTL0008	CPn0737	67.25	1e-17
CTL0009	CPn0736	67.23	5.999999999999998e-88
CTL0010	CPn0770	68.01	1e-36
CTL0011	CPn0769	69.4	0.0
CTL0012	CPn0768	68.1	4e-94
CTL0013	CPn0767	68.23	2.0000000000000002e-21
CTL0014	CPn0766	74.75	2e-10
CTL0015	CPn1059	91.3	0.042
CTL0016	CPn0764	70.24	2e-60
CTL0017	CPn0315	100.0	0.47
CTL0018	CPn0762	76.48	0.0
CTL0019	CPn0751	76.92	0.001
CTL0020	CPn0752	78.45	1.0000000000000001e-20
CTL0021	CPn0063	88.0	0.042
CTL0022	CPn0723	74.86	9.999999999999997e-136
CTL0023	CPn0911	94.44	1.5
CTL0023	CPn0109	100.0	1.5
CTL0024	CPn0721	68.75	9e-63
CTL_t03	CPnt27	95.89	1e-28
CTL0025	CPn0717	68.29	4.0000000000000004e-11
CTL0026	CPn0719	90.48	0.27
CTL0027	CPn0719	71.28	6.999999999999998e-91
CTL0028	CPn0720	73.48	2e-34
CTL0029	CPn0716	70.57	3.999999999999999e-165
CTL0030	CPn0715	69.59	0.0
CTL0031	CPn0714	76.64	6e-22
CTL0032	CPn0713	67.4	3e-15
CTL0033	CPn0712	69.84	0.0
CTL0034	CPn0711	72.33	1.9999999999999998e-32
CTL0035	CPn0710	78.84	5e-54
CTL0036	CPn0709	71.81	5.999999999999999e-62
CTL0037	CPn0708	69.05	1.9999999999999997e-51
CTL0038	CPn0707	77.43	0.0
CTL0039	CPn0706	78.0	1.9999999999999997e-112
CTL0040	CPn0705	65.17	2e-14
CTL0041	CPn0704	74.29	4e-12
CTL0042	CPn0703	69.32	4e-14
CTL0043	CPn0702	73.33	0.0
CTL_t31	CPnt26	97.26	3e-30
CTL0044	CPn0701	97.14	2e-09
CTL0045	CPn0700	77.66	1e-14
CTL_t20	CPnt25	95.89	1e-28
CTL_t10	CPnt24	100.0	5e-34
CTL0046	CPn0699	68.99	1.9999999999999997e-51
CTL0047	CPn0698	70.81	1.9999999999999996e-64
CTL0048	CPn0697	68.65	1.9999999999999998e-78
CTL0049	CPn0696	68.39	3.999999999999999e-67
CTL_t11	CPnt23	100.0	7e-32
CTL0050	CPn0695	68.12	5.999999999999999e-112
CTL0051	CPn0694	68.53	9.999999999999998e-100
CTL0052	CPn0693	72.7	1.9999999999999996e-154
CTL0053	CPn0692	73.01	0.0
CTL0054	CPn0691	67.02	3e-31
CTL0055	CPn0457	95.24	0.08800000000000001
CTL0056	CPn0689	65.01	2.9999999999999996e-39
CTL0057	CPn0684	71.54	1.9999999999999994e-71
CTL0058	CPn0683	66.62	5e-54
CTL0059	CPn0682	68.91	1e-55
CTL0060	CPn0007	95.0	0.17
CTL0061	CPn0680	71.1	9.000000000000002e-59
CTL0062	CPn0679	68.16	4.999999999999999e-119
CTL0063	CPn0689	91.3	0.071
CTL0064	CPn0256	92.31	0.025
CTL0065	CPn0675	71.64	0.025
CTL0066	CPn0837	69.93	2.9999999999999997e-62
CTL0067	CPn0838	67.45	2.9999999999999997e-96
CTL0068	CPn0839	78.12	9.000000000000001e-07
CTL0069	CPn0840	64.8	2e-60
CTL0070	CPn0841	76.22	0.0
CTL0071	CPn0968	100.0	1.6
CTL0071	CPn0344	84.0	1.6
CTL0071	CPn0191	94.44	1.6
CTL0071	CPn0021	86.96	1.6
CTL0072	CPn0844	69.19	2.9999999999999996e-85
CTL0073	CPn0845	69.97	1.9999999999999997e-72
CTL0074	CPn0846	75.55	0.0
CTL0075	CPn0847	78.47	5.999999999999998e-140
CTL0076	CPn0848	68.06	2.999999999999999e-84
CTL_t12	CPnt31	98.61	7.999999999999999e-31
CTL0077	CPn0849	74.52	0.0
CTL0078	CPn0850	79.98	0.0
CTL0079	CPn0851	74.77	0.0
CTL0080	CPn0852	70.39	9.999999999999999e-16
CTL0081	CPn0853	72.38	3e-32
CTL0082	CPn0854	68.75	1e-56
CTL0082a	CPn0413	94.12	0.66
CTL0082a	CPn0183	100.0	0.66
CTL0082a	CPn0167	94.12	0.66
CTL0083	CPn0855	69.08	2.999999999999999e-108
CTL0084	CPn0856	67.42	7.999999999999999e-92
CTL0085	CPn0857	79.17	5e-05
CTL0086	CPn0858	68.26	1.9999999999999995e-118
CTL0087	CPn0859	64.67	5.9999999999999995e-12
CTL0088	CPn0860	77.0	2e-10
CTL0089	CPn0861	65.89	1.9999999999999998e-32
CTL0090	CPn0862	79.17	0.0002
CTL0091	CPn0863	73.04	2.999999999999999e-106
CTL0092	CPn0864	73.05	2.999999999999999e-106
CTL0093	CPn0965	90.91	0.13
CTL0094	CPn0866	75.36	2e-06
CTL0095	CPn0867	70.12	3.9999999999999995e-114
CTL0096	CPn0868	67.92	0.0
CTL0097	CPn0869	68.03	8e-19
CTL0098	CPn0870	70.36	1.9999999999999997e-161
CTL0099	CPn0871	76.19	7.999999999999999e-15
CTL0100	CPn0872	66.61	1.9999999999999995e-80
CTL0101	CPn0873	68.19	4e-39
CTL0102	CPn0874	66.35	5e-63
CTL0103	CPn0875	74.38	2.999999999999999e-68
CTL0104	CPn0876	65.79	1.9999999999999994e-79
CTL0105	CPn0877	69.07	4e-45
CTL0106	CPn0878	71.4	1e-59
CTL0107	CPn0879	69.37	6.999999999999999e-77
CTL0108	CPn0880	74.89	0.0
CTL_t13	CPnt32	95.95	4.0000000000000003e-29
CTL_r01	CPnr01	93.88	0.0
CTL_r03	CPnr02	93.15	0.0
CTL_r05	CPnr03	90.43	2.9999999999999994e-40
CTL0109	CPn0883	72.12	0.0
CTL0110	CPn0884	75.51	4e-44
CTL0111	CPn0885	64.42	3e-51
CTL0112	CPn0886	79.89	2.9999999999999996e-39
CTL0113	CPn0887	74.14	0.015
CTL0114	CPn0888	64.64	1e-13
CTL0115	CPn0889	66.59	7.999999999999998e-98
CTL0116	CPn0890	67.02	2e-40
CTL0117	CPn0891	72.31	0.0
CTL0118	CPn0892	70.64	0.0
CTL_r02	CPnr01	93.88	0.0
CTL_r04	CPnr02	93.12	0.0
CTL_r06	CPnr03	90.43	2.9999999999999994e-40
CTL0119	CPn0893	69.98	0.0
CTL0120	CPn0894	72.48	9.999999999999997e-80
CTL0121	CPn0895	78.18	3.9999999999999997e-122
CTL0122	CPn1039	100.0	0.66
CTL0122	CPn0342	90.91	0.66
CTL0122	CPn0115	94.44	0.66
CTL0123	CPn0897	64.6	3e-13
CTL0124	CPn0134	87.1	0.003
CTL_t08	CPnt33	98.59	3e-30
CTL0125	CPn0899	66.79	2e-36
CTL0126	CPn0900	66.11	9e-20
CTL0127	CPn0901	68.33	7e-16
CTL0128	CPn0912	90.48	0.66
CTL0128	CPn0884	91.3	0.66
CTL0128	CPn0539	90.48	0.66
CTL0128	CPn0212	95.24	0.66
CTL0129	CPn0903	69.74	1.9999999999999996e-136
CTL0130	CPn0904	74.59	6e-16
CTL0131	CPn0905	65.14	5.999999999999999e-71
CTL0132	CPn0906	71.02	8.000000000000001e-29
CTL0133	CPn0375	90.91	0.21
CTL0134	CPn0542	100.0	0.29
CTL0135	CPn0910	66.56	4e-69
CTL0136	CPn0911	70.3	2.9999999999999997e-115
CTL0137	CPn0912	68.69	4e-40
CTL0138	CPn0915	72.22	2.9999999999999997e-52
CTL0139	CPn0916	75.14	0.0
CTL0140	CPn0917	73.94	4e-77
CTL0141	CPn0918	72.76	1.9999999999999994e-96
CTL0142	CPn0919	69.81	3e-38
CTL0143	CPn0920	64.19	2e-10
CTL0144	CPn0921	66.04	5.999999999999999e-40
CTL0145	CPn0922	64.26	2e-42
CTL0146	CPn0521	88.46	0.084
CTL0147	CPn0924	67.19	2.9999999999999996e-112
CTL0148	CPn0925	70.89	0.004
CTL0149	CPn0926	65.57	1e-14
CTL0150	CPn0931	72.95	0.0
CTL0151	CPn0932	70.9	1.9999999999999994e-124
CTL0152	CPn0933	67.47	4.9999999999999997e-23
CTL0153	CPn0934	66.38	2.0000000000000002e-11
CTL0153A	CPn0935	77.54	1e-25
CTL0154	CPn0936	80.43	5e-31
CTL0155	CPn0937	81.37	4e-81
CTL0156	CPn0938	78.57	1e-08
CTL0157	CPn0959	94.44	0.74
CTL0157	CPn0900	90.0	0.74
CTL0157	CPn0666	100.0	0.74
CTL0157	CPn0241	100.0	0.74
CTL0158	CPn0939	76.96	1.9999999999999995e-80
CTL0159	CPn0940	66.53	3.9999999999999997e-84
CTL0160	CPn0941	66.93	0.0
CTL0161	CPn1059	95.0	0.065
CTL0162	CPn0942	68.02	3.999999999999999e-103
CTL0163	CPn0444	100.0	0.86
CTL0163	CPn0321	90.0	0.86
CTL0164	CPn0945	81.25	0.12
CTL0165	CPn0946	66.67	9.999999999999996e-177
CTL0166	CPn0947	70.32	9e-49
CTL0167	CPn0948	74.06	2.9999999999999998e-33
CTL_t09	CPnt34	98.61	7.999999999999999e-31
CTL0168	CPn0949	74.01	2.9999999999999993e-98
CTL0169	CPn0098	100.0	0.14
CTL0170	CPn0951	77.74	5.999999999999999e-73
CTL0171	CPn0952	79.12	9e-57
CTL0172	CPn0953	71.53	2e-37
CTL0173	CPn0954	88.89	0.018000000000000002
CTL0173	CPn0815	95.45	0.018000000000000002
CTL0174	CPn0956	66.51	8.999999999999998e-72
CTL0175	CPn0957	67.45	1e-49
CTL0176	CPn0958	68.93	1.9999999999999998e-91
CTL0177	CPn0959	75.23	0.0
CTL0178a	CPn1018	100.0	0.62
CTL0178a	CPn0730	100.0	0.62
CTL0178	CPn0612	100.0	0.031
CTL0179	CPn0439	94.74	0.28
CTL0181	CPn1022	94.74	0.15
CTL0182	CPn0962	68.22	2.9999999999999994e-64
CTL0183	CPn0963	82.61	2e-05
CTL0184	CPn0631	100.0	0.2
CTL0185	CPn0505	100.0	0.9
CTL0186	CPn0581	87.5	0.31
CTL0187	CPn0967	72.23	0.0
CTL0188	CPn0968	65.07	2.999999999999999e-92
CTL0189	CPn0970	64.74	4e-44
CTL0190	CPn0970	65.8	5e-24
CTL0190	CPn0969	65.8	5e-24
CTL0191	CPn0971	68.27	5e-66
CTL0192	CPn0972	64.17	7e-33
CTL0193	CPn0973	68.71	2.9999999999999997e-115
CTL0194	CPn0974	72.61	4.999999999999999e-117
CTL0195	CPn0979	72.8	0.0
CTL0196	CPn0981	67.9	0.0
CTL0197	CPn0982	69.54	7e-86
CTL0198	CPn0983	69.61	8.999999999999998e-82
CTL0199	CPn0984	70.8	0.0
CTL0200	CPn0985	75.53	0.0
CTL0201	CPn0986	70.07	1.9999999999999998e-32
CTL_t36	CPnt35	100.0	2e-33
CTL0202	CPn0898	94.74	0.52
CTL0203	CPn0988	65.91	1e-17
CTL0204	CPn0989	80.0	5e-07
CTL0205	CPn0990	76.51	3.9999999999999994e-116
CTL0206	CPn0991	83.33	1.9999999999999997e-51
CTL0207	CPn0992	77.53	2.9999999999999994e-77
CTL0208	CPn0993	74.38	6.999999999999997e-123
CTL_t27	CPnt36	100.0	6.999999999999999e-39
CTL0209	CPn0994	65.61	1.9999999999999997e-89
CTL0210	CPn0995	65.62	2e-59
CTL0211	CPn0996	70.98	3.999999999999999e-138
CTL0212	CPn0997	73.12	3e-25
CTL0213	CPn0998	73.3	0.0
CTL0214	CPn0999	71.01	3.999999999999999e-173
CTL0215	CPn1000	80.49	4e-61
CTL0216	CPn1001	72.99	8.999999999999999e-67
CTL0217	CPn0214	94.74	0.24
CTL0218	CPn1003	64.6	1e-16
CTL0219	CPn1004	68.34	4e-40
CTL0220	CPn1005	72.67	9.999999999999998e-71
CTL0221	CPn1006	79.95	8.999999999999999e-92
CTL0222	CPn0134	94.44	0.54
CTL0223	CPn1008	87.88	0.0002
CTL0224	CPn1009	72.77	1.9999999999999995e-141
CTL0225	CPn1010	64.2	1e-16
CTL0226	CPn0690	100.0	0.53
CTL0227	CPn1012	70.83	6.999999999999998e-43
CTL0228	CPn1013	70.88	0.0
CTL0231	CPn1014	73.04	0.0
CTL0232	CPn1015	72.94	0.0
CTL0233	CPn1016	67.85	4e-52
CTL0234	CPn1017	68.35	1.9999999999999997e-72
CTL0235	CPn0838	100.0	0.11
CTL0236	CPn1020	88.89	0.032
CTL0237	CPn1021	73.08	1e-65
CTL0238	CPn1022	73.71	9.999999999999997e-72
CTL_t15	CPnt37	96.34	2e-33
CTL0238b	CPn1023	79.55	0.0005
CTL0243	CPn0999	90.48	0.81
CTL0243	CPn0599	84.62	0.81
CTL0244	CPn0476	82.46	2e-09
CTL0245	CPn0475	68.0	1.9999999999999992e-159
CTL0246	CPn0421	100.0	0.075
CTL0247	CPn0539	100.0	0.31
CTL0248	CPn0540	90.0	0.001
CTL0249	CPn0471	76.47	0.005
CTL0250	CPn0014	77.38	6e-09
CTL0251	CPn0444	84.09	1e-05
CTL0252	CPn0864	100.0	0.53
CTL0254	CPn0980	86.67	0.2
CTL0254	CPn0976	81.82	0.2
CTL0255	CPnr02	92.0	0.011000000000000001
CTL0256	CPn0001	73.33	3e-06
CTL0257	CPn0550	100.0	0.26
CTL0258	CPn0003	68.65	5.999999999999998e-151
CTL0259	CPn0004	70.0	0.0
CTL0260	CPn0417	90.91	0.28
CTL0261	CPn0486	100.0	0.5
CTL0261	CPn0461	90.48	0.5
CTL0262	CPn0441	68.51	2e-46
CTL0263	CPn1068	67.54	8.999999999999999e-64
CTL0264	CPn1069	71.18	2e-49
CTL0265	CPn0098	65.82	7e-42
CTL0266	CPn0100	66.52	2.999999999999999e-84
CTL0267	CPn0101	70.87	1.9999999999999994e-103
CTL0268	CPn0102	69.14	2.999999999999999e-141
CTL0269	CPn0580	100.0	0.27
CTL0269	CPn0031	90.91	0.27
CTL0270	CPn0106	69.2	2.999999999999999e-147
CTL0271	CPn0105	68.96	2e-33
CTL0272	CPn0104	67.06	4e-45
CTL0273	CPn0098	95.0	0.12
CTL0274	CPn0109	70.9	0.0
CTL0275	CPn0110	66.39	3.9999999999999996e-123
CTL0276	CPn0111	74.68	6e-08
CTL0277	CPn0112	82.91	2e-65
CTL0278	CPn0113	73.31	1.9999999999999992e-175
CTL0279	CPn0114	68.66	2.9999999999999996e-37
CTL0280	CPn0115	68.09	9.999999999999999e-134
CTL0281	CPn0116	76.9	9e-65
CTL0282	CPn0117	70.96	8e-65
CTL0283	CPn0118	77.05	2.9999999999999994e-77
CTL0284	CPn0119	68.88	7e-51
CTL0285	CPn0120	64.88	2e-26
CTL0286	CPn0121	79.26	7e-28
CTL0287	CPn0122	70.02	0.0
CTL0288	CPn0123	68.48	9.999999999999999e-118
CTL0289	CPn0127	63.41	1.9999999999999999e-22
CTL0290	CPn0128	68.13	2e-19
CTL0291	CPn0178	95.45	0.025
CTL_t06	CPnt04	100.0	1.9999999999999998e-32
CTL0293	CPn0991	94.44	1.0
CTL0294	CPn0392	73.3	1.9999999999999993e-95
CTL0295	CPn0984	100.0	1.5
CTL0295	CPn0911	94.12	1.5
CTL0295	CPn0516	100.0	1.5
CTL0296	CPn0390	72.89	1.9999999999999995e-149
