Query	Subject	% Similarity	E Value
CT_875	CPnr02	92.0	0.011000000000000001
CT_001	CPn0001	73.33	3e-06
CT_002	CPn0550	100.0	0.26
CT_003	CPn0003	68.51	2.999999999999999e-148
CT_004	CPn0004	69.93	0.0
CT_005	CPn0417	90.91	0.28
CT_006	CPn0486	100.0	0.5
CT_006	CPn0461	90.48	0.5
CT_007	CPn0441	68.72	1.9999999999999997e-47
CT_008	CPn1068	67.66	2e-65
CT_009	CPn1069	71.18	2e-49
CT_010	CPn0098	65.69	8e-41
CT_011	CPn0100	66.26	5.999999999999999e-80
CT_012	CPn0101	70.74	1.9999999999999995e-102
CT_013	CPn0102	69.06	9.999999999999998e-140
CT_014	CPn0580	100.0	0.27
CT_014	CPn0031	90.91	0.27
CT_015	CPn0106	68.84	1.9999999999999994e-142
CT_016	CPn0105	69.23	4e-35
CT_017	CPn0104	66.89	4e-44
CT_018	CPn0726	95.0	0.12
CT_018	CPn0098	95.0	0.12
CT_s01	CPns01	82.51	3.9999999999999995e-114
CT_019	CPn0109	71.02	0.0
CT_020	CPn0110	66.33	9.999999999999998e-122
CT_021	CPn0111	74.68	6e-08
CT_022	CPn0112	83.33	1.9999999999999997e-66
CT_023	CPn0113	73.41	9.999999999999996e-177
CT_024	CPn0114	69.14	5.999999999999999e-40
CT_025	CPn0115	67.89	5.999999999999999e-131
CT_026	CPn0116	76.9	9e-65
CT_027	CPn0117	70.96	8e-65
CT_028	CPn0118	76.78	1e-75
CT_029	CPn0119	68.69	8e-50
CT_030	CPn0120	65.06	1e-27
CT_031	CPn0121	80.0	5e-29
CT_032	CPn0122	69.94	0.0
CT_033	CPn0123	68.65	1.9999999999999996e-120
CT_034	CPn0127	63.3	6e-22
CT_035	CPn0128	65.08	8e-19
CT_036	CPn0178	95.45	0.026000000000000002
CT_037	CPn1066	100.0	3.8
CT_t01	CPnt04	100.0	1.9999999999999998e-32
CT_038	CPn0991	94.44	1.1
CT_039	CPn0392	73.82	7.999999999999998e-100
CT_039.1	CPn0415	86.96	0.43
CT_040	CPn0390	72.78	6.999999999999999e-148
CT_041	CPn0389	67.7	3e-63
CT_042	CPn0388	67.5	5.999999999999998e-121
