Query	Subject	% Similarity	E Value	Length
CTL0001	CT_633	99.61	0.0	1017
CTL0002	CT_634	99.71	0.0	1398
CTL0003	CT_635	99.54	0.0	435
CTL0004	CT_636	99.16	0.0	2148
CTL_t01	CT_t25	100.0	4.9999999999999996e-33	73
CTL0005	CT_637	99.09	0.0	1203
CTL0006	CT_638	99.74	0.0	769
CTL0007	CT_639	99.09	0.0	3081
CTL0008	CT_640	98.28	0.0	3021
CTL0009	CT_641	98.33	0.0	1680
CTL0010	CT_642	98.53	0.0	816
CTL0011	CT_643	99.57	0.0	2574
CTL0012	CT_644	98.71	0.0	1005
CTL0013	CT_645	97.98	8.999999999999998e-146	297
CTL0014	CT_646	99.06	0.0	1380
CTL0015	CT_647	99.83	0.0	579
CTL0016	CT_648	99.53	0.0	1275
CTL0017	CT_649	99.26	0.0	537
CTL0018	CT_650	96.03	0.0	1059
CTL0019	CT_651	95.89	0.0	1827
CTL0020	CT_652	95.71	0.0	1491
CTL0021	CT_652.1	100.0	9.999999999999998e-91	180
CTL0022	CT_653	97.78	0.0	720
CTL0023	CT_654	99.18	0.0	489
CTL0024	CT_655	98.64	0.0	810
CTL_t03	CT_t26	100.0	4.9999999999999996e-33	73
CTL0025	CT_656	99.66	9.999999999999996e-151	294
CTL0026	CT_657	98.43	2.999999999999999e-158	318
CTL0027	CT_658	97.41	0.0	1005
CTL0028	CT_659	100.0	1.9999999999999995e-121	237
CTL0029	CT_660	99.46	0.0	1473
CTL0030	CT_661	99.78	0.0	1818
CTL0031	CT_662	99.11	0.0	1008
CTL0032	CT_663	99.25	0.0	402
CTL0033	CT_664	99.48	0.0	2490
CTL0034	CT_665	99.21	6.999999999999998e-127	252
CTL0035	CT_666	99.6	5.999999999999999e-128	252
CTL0036	CT_667	99.56	0.0	450
CTL0037	CT_668	99.85	0.0	672
CTL0038	CT_669	99.77	0.0	1329
CTL0039	CT_670	99.41	0.0	507
CTL0040	CT_671	99.41	0.0	852
CTL0041	CT_672	97.95	0.0	1122
CTL0042	CT_673	99.66	0.0	1473
CTL0043	CT_674	96.89	0.0	2766
CTL_t31	CT_t27	100.0	4.9999999999999996e-33	73
CTL0044	CT_675	97.48	0.0	1071
CTL0045	CT_676	99.23	0.0	522
CTL_t20	CT_t28	100.0	4.9999999999999996e-33	73
CTL_t10	CT_t29	100.0	4e-34	75
CTL0046	CT_677	95.37	0.0	540
CTL0047	CT_678	98.24	0.0	738
CTL0048	CT_679	96.47	0.0	849
CTL0049	CT_680	95.17	0.0	849
CTL_t11	CT_t30	100.0	6e-32	71
CTL0050	CT_681	92.49	0.0	1185
CTL0051	CT_682	99.38	0.0	3243
CTL0052	CT_683	98.71	0.0	1008
CTL0053	CT_684	99.52	0.0	1452
CTL0054	CT_685	98.18	0.0	768
CTL0055	CT_686	98.91	0.0	1188
CTL0056	CT_687	98.59	0.0	1206
CTL0057	CT_688	99.88	0.0	846
CTL0058	CT_689	99.64	0.0	831
CTL0059	CT_690	99.28	0.0	966
CTL0060	CT_691	100.0	0.0	675
CTL0061	CT_692	99.77	0.0	1281
CTL0062	CT_693	99.5	0.0	1212
CTL0063	CT_694	98.25	0.0	972
CTL0064	CT_695	99.67	0.0	1197
CTL0065	CT_696	99.75	0.0	1179
CTL0066	CT_697	99.84	0.0	636
CTL0067	CT_698	99.85	0.0	1335
CTL0068	CT_699	99.89	0.0	906
CTL0069	CT_700	99.55	0.0	1326
CTL0070	CT_701	99.52	0.0	2910
CTL0071	CT_702	99.81	0.0	528
CTL0072	CT_703	99.59	0.0	1473
CTL0073	CT_704	99.84	0.0	1233
CTL0074	CT_705	99.6	0.0	1260
CTL0075	CT_706	99.84	0.0	612
CTL0076	CT_707	99.25	0.0	1329
CTL_t12	CT_t31	100.0	1.9999999999999998e-32	72
CTL0077	CT_708	99.71	0.0	3492
CTL0078	CT_709	99.82	0.0	1101
CTL0079	CT_710	99.56	0.0	1800
CTL0080	CT_711	99.44	0.0	2304
CTL0081	CT_712	99.49	0.0	1173
CTL0082	CT_713	99.41	0.0	1023
CTL0082a	CT_713	100.0	1e-35	78
CTL0083	CT_714	99.5	0.0	1005
CTL0084	CT_715	99.63	0.0	1368
CTL0085	CT_716	99.73	0.0	366
CTL0086	CT_717	99.69	0.0	1305
CTL0087	CT_718	99.43	0.0	525
CTL0088	CT_719	99.5	0.0	1005
CTL0089	CT_720	99.74	0.0	783
CTL0090	CT_721	99.74	0.0	1155
CTL0091	CT_722	99.56	0.0	681
CTL0092	CT_723	99.72	0.0	726
CTL0093	CT_724	99.05	0.0	525
CTL0094	CT_725	99.64	0.0	555
CTL0095	CT_726	99.74	0.0	1140
CTL0096	CT_727	99.44	0.0	1980
CTL0097	CT_728	99.46	0.0	747
CTL0098	CT_729	99.69	0.0	1287
CTL0099	CT_730	99.56	0.0	1128
CTL0100	CT_731	99.45	0.0	1275
CTL0101	CT_732	99.37	0.0	474
CTL0102	CT_733	99.63	0.0	1347
CTL0103	CT_734	99.7	0.0	666
CTL0104	CT_735	99.63	0.0	1368
CTL0105	CT_736	99.56	0.0	453
CTL0106	CT_737	99.7	0.0	660
CTL0107	CT_738	99.62	0.0	789
CTL0108	CT_739	99.67	0.0	2400
CTL_t13	CT_t32	100.0	1e-33	74
CTL_r01	CT_r04	99.61	0.0	1550
CTL_r01	CT_r01	99.61	0.0	1550
CTL_r03	CT_r05	99.79	0.0	2864
CTL_r03	CT_r02	99.69	0.0	2869
CTL_r05	CT_r06	99.15	4.9999999999999994e-55	117
CTL_r05	CT_r03	99.15	4.9999999999999994e-55	117
CTL0109	CT_740	99.31	0.0	1296
CTL0110	CT_741	99.42	2.999999999999999e-177	345
CTL0111	CT_742	99.16	0.0	1191
CTL0112	CT_743	98.94	0.0	378
CTL0113	CT_744	99.84	0.0	2465
CTL0114	CT_745	99.53	0.0	1275
CTL0115	CT_746	99.85	0.0	1374
CTL0116	CT_747	99.9	0.0	1011
CTL0117	CT_748	99.48	0.0	3240
CTL0118	CT_749	99.24	0.0	2628
CTL_r02	CT_r04	99.61	0.0	1550
CTL_r02	CT_r01	99.61	0.0	1550
CTL_r04	CT_r05	99.76	0.0	2864
CTL_r04	CT_r02	99.65	0.0	2869
CTL_r06	CT_r06	99.15	4.9999999999999994e-55	117
CTL_r06	CT_r03	99.15	4.9999999999999994e-55	117
CTL0119	CT_750	99.65	0.0	2001
CTL0120	CT_751	99.2	0.0	870
CTL0121	CT_752	99.81	0.0	537
CTL0122	CT_753	100.0	5.999999999999999e-115	225
CTL0123	CT_754	99.77	0.0	873
CTL0124	CT_755	99.48	0.0	1539
CTL_t08	CT_t33	100.0	6e-32	71
CTL0125	CT_756	99.56	0.0	1353
CTL0126	CT_757	99.7	0.0	1011
CTL0127	CT_758	99.52	0.0	1251
CTL0128	CT_759	99.05	0.0	738
CTL0129	CT_760	98.27	0.0	1158
CTL0130	CT_761	99.72	0.0	1059
CTL0131	CT_762	99.17	0.0	2412
CTL0132	CT_763	99.52	0.0	420
CTL0133	CT_764	99.88	0.0	807
CTL0134	CT_765	99.7	7.999999999999998e-172	333
CTL0135	CT_766	99.61	0.0	1020
CTL0136	CT_767	100.0	0.0	1053
