Query	Best Match(es)
CPn0085	{'CTL0563': 71.43}
CPn0054	{'CTL0549': 66.43}
CTL0172	{'CPn0953': 71.53}
CTL0760	{'CPn0617': 70.1}
CPn0864	{'CTL0092': 73.05}
CPn0595	{'CTL0737': 69.21}
CPn0884	{'CTL0110': 75.51}
CPn0345	{'CTL0327': 65.75}
CTL0435	{'CPn0236': 67.38}
CPn0610	{'CTL0752': 75.54}
CPn0236	{'CTL0435': 67.38}
CPn0787	{'CTL0858': 68.17}
CTL0168	{'CPn0949': 74.01}
CTL0897	{'CPn0746': 69.55}
CTL0773	{'CPn0630': 75.89}
CTL0772	{'CPn0629': 73.28}
CTL0546	{'CPn0057': 70.69}
CPn0024	{'CTL0601': 68.53}
CPn0380	{'CTL0308': 67.59}
CTL0110	{'CPn0884': 75.51}
CTL0858	{'CPn0787': 68.17}
CPn0689	{'CTL0056': 65.01}
CPn0917	{'CTL0140': 73.94}
CPn0350	{'CTL0322': 74.01}
CTL0131	{'CPn0905': 65.14}
CTL0318	{'CPn0361': 70.23}
CPn1068	{'CTL0263': 67.61}
CPn0104	{'CTL0272': 67.06}
CTL0798	{'CPn0655': 69.25}
CPnt26	{'CTL_t31': 97.26}
CTL0030	{'CPn0715': 69.59}
CPn0937	{'CTL0155': 81.37}
CPn0841	{'CTL0070': 76.22}
CTL0786	{'CPn0643': 80.9}
CTL0550	{'CPn0053': 69.36}
CTL0345	{'CPn0323': 78.35}
CTL0516	{'CPn0413': 68.24}
CTL0511	{'CPn0397': 65.84}
CPn0936	{'CTL0154': 80.43}
CTL0011	{'CPn0769': 69.4}
CTL_t32	{'CPnt10': 100.0}
CTL0145	{'CPn0922': 64.26}
CTL0121	{'CPn0895': 78.18}
CTL0860	{'CPn0785': 72.67}
CPn0206	{'CTL0455': 70.69}
CTL0309	{'CPn0379': 74.5}
CTL0144	{'CPn0921': 66.04}
CTL0059	{'CPn0682': 68.91}
CPn0542	{'CTL0673': 65.9}
CPn0092	{'CTL0556': 74.41}
CTL0827	{'CPn0823': 68.78}
CPn0828	{'CTL0822': 75.76}
CPn0995	{'CTL0210': 65.62}
CTL0384	{'CPn0192': 71.21}
CTL0036	{'CPn0709': 71.81}
CTL0175	{'CPn0957': 67.45}
CPnr01	{'CTL_r01': 93.88, 'CTL_r02': 93.88}
CPn0083	{'CTL0565': 73.33}
CPn0062	{'CTL0541': 76.33}
CTL0285	{'CPn0120': 64.88}
CTL0590	{'CPn0038': 71.24}
CPn1048	{'CTL0617': 67.55}
CTL0524	{'CPn0421': 68.63}
CPn0550	{'CTL0696': 79.28}
CTL0003	{'CPn0742': 74.77}
CPn0903	{'CTL0129': 69.74}
CPn1025	{'CTL0633': 69.35}
CTL0849	{'CPn0801': 72.96}
CPn0509	{'CTL0681': 71.76}
CPn0098	{'CTL0265': 65.82}
CTL0111	{'CPn0885': 64.42}
CTL0234	{'CPn1017': 68.35}
CTL0105	{'CPn0877': 69.07}
CPn0855	{'CTL0083': 69.08}
CPn0100	{'CTL0266': 66.52}
CPnt29	{'CTL_t25': 98.65}
CTL0209	{'CPn0994': 65.61}
CPn0629	{'CTL0772': 73.28}
CTL0378	{'CPn0183': 72.43}
CPn0185	{'CTL0376': 69.23}
CTL0741	{'CPn0599': 70.4}
CTL0813	{'CPn0672': 66.77}
CPn0344	{'CTL0328': 70.33}
CTL0283	{'CPn0118': 77.05}
CPn0563	{'CTL0707': 64.6}
CPn0769	{'CTL0011': 69.4}
CPn0441	{'CTL0262': 68.51}
CTL0177	{'CPn0959': 75.23}
CTL0556	{'CPn0092': 74.41}
CPn0719	{'CTL0027': 71.28}
CPn0116	{'CTL0281': 76.9}
CTL0755	{'CPn0613': 66.88}
CPn0112	{'CTL0277': 82.91}
CTL_t24	{'CPnt16': 97.26}
CTL0634	{'CPn0478': 68.9}
CTL0213	{'CPn0998': 73.3}
CPn0571	{'CTL0715': 67.57}
CPn0316	{'CTL0352': 79.08}
CPn0304	{'CTL0497': 71.88}
CPnr02	{'CTL_r03': 93.15}
CTL0001	{'CPn0744': 66.46}
CPn0631	{'CTL0774': 76.85}
CPn0360	{'CTL0319': 66.22}
CPn0951	{'CTL0170': 77.74}
CPn0250	{'CTL0405': 84.81}
CTL0334	{'CPn0335': 68.88}
CTL0513	{'CPn0410': 67.01}
CPn0624	{'CTL0767': 72.12}
CPn0999	{'CTL0214': 71.01}
CTL0690	{'CPn0520': 77.13}
CPn0818	{'CTL0832': 73.93}
CTL655a	{'CPns02': 81.61}
CTL0208	{'CPn0993': 74.38}
CPn0772	{'CTL0872': 65.39}
CPn0545	{'CTL0676': 77.64}
CTL0565	{'CPn0083': 73.33}
CTL0381	{'CPn0246': 73.91}
CPn0970	{'CTL0189': 64.74}
CPn0289	{'CTL0482': 70.0}
CPn0586	{'CTL0728': 69.78}
CPn0710	{'CTL0035': 78.84}
CPn0634	{'CTL0777': 75.81}
CTL0279	{'CPn0114': 68.66}
CPnt13	{'CTL_t26': 98.67}
CTL_r06	{'CPnr03': 90.43}
CPn0775	{'CTL0869': 65.84}
CPn0511	{'CTL0683': 73.39}
CPn0699	{'CTL0046': 68.99}
CPn0998	{'CTL0213': 73.3}
CTL0517	{'CPn0414': 76.59}
CPn1057	{'CTL0610': 66.62}
CTL0433	{'CPn0234': 73.96}
CTL0714	{'CPn0570': 70.56}
CTL0304	{'CPn0382': 71.43}
CPn0295	{'CTL0488': 80.3}
CPn0684	{'CTL0057': 71.54}
CPn0496	{'CTL0647': 65.45}
CPnt11	{'CTL_t37': 100.0}
CTL_t07	{'CPnt12': 97.3}
CPn0844	{'CTL0072': 69.19}
CTL0637	{'CPn0484': 65.12}
CPn0234	{'CTL0433': 73.96}
CTL0112	{'CPn0886': 79.89}
CPn0347	{'CTL0325': 64.89}
CPnt16	{'CTL_t24': 97.26}
CPn0246	{'CTL0381': 73.91}
CTL0176	{'CPn0958': 68.93}
CPn0423	{'CTL0526': 76.07}
CPn0910	{'CTL0135': 66.56}
CTL0696	{'CPn0550': 79.28}
CTL0457	{'CPn0208': 67.97}
CTL0717	{'CPn0573': 73.88}
CPnt28	{'CTL_t01': 98.63}
CPnt15	{'CTL_t29': 97.7}
CTL0429	{'CPn0228': 70.56}
CTL0182	{'CPn0962': 68.22}
CPn0947	{'CTL0166': 70.32}
CTL0740	{'CPn0598': 68.42}
CPn0640	{'CTL0783': 83.41}
CTL0368	{'CPn0144': 74.77}
CPn0874	{'CTL0102': 66.35}
CPn0863	{'CTL0091': 73.04}
CTL0038	{'CPn0707': 77.43}
CTL0571	{'CPn0077': 77.0}
CPn0807	{'CTL0843': 64.94}
CTL0287	{'CPn0122': 70.02}
CTL0889	{'CPn0732': 69.13}
CPn0033	{'CTL0594': 71.4}
CTL0331	{'CPn0338': 74.32}
CTL0138	{'CPn0915': 72.22}
CTL0636	{'CPn0482': 66.67}
CTL0076	{'CPn0848': 68.06}
CTL0602	{'CPn0023': 74.92}
CPn0702	{'CTL0043': 73.33}
CTL_t06	{'CPnt04': 100.0}
CTL0879	{'CPn0756': 79.74}
CPnt36	{'CTL_t27': 100.0}
CTL0189	{'CPn0970': 64.74}
CTL0688	{'CPn0518': 77.41}
CTL0702	{'CPn0557': 74.46}
CTL0715	{'CPn0571': 67.57}
CTL0022	{'CPn0723': 74.86}
CTL0033	{'CPn0712': 69.84}
CPn0513	{'CTL0685': 66.13}
CTL0609	{'CPn1058': 69.01}
CTL0673	{'CPn0542': 65.9}
CTL0501	{'CPn0309': 70.48}
CPn0575	{'CTL0718': 72.71}
CTL0465	{'CPn0141': 68.22}
CPn0630	{'CTL0773': 75.89}
CPn0293	{'CTL0486': 64.5}
CTL0159	{'CPn0940': 66.53}
CTL0329	{'CPn0342': 70.91}
CTL0617	{'CPn1048': 67.55}
CPn0397	{'CTL0511': 65.84}
CPn0428	{'CTL0531': 68.22}
CTL0294	{'CPn0392': 73.3}
CTL0107	{'CPn0879': 69.37}
CPn0658	{'CTL0800': 76.29}
CPn0974	{'CTL0194': 72.61}
CTL0589	{'CPn0039': 70.96}
CPn0031	{'CTL0596': 81.82}
CTL0084	{'CPn0856': 67.42}
CPn0577	{'CTL0720': 72.35}
CPn0785	{'CTL0860': 72.67}
CTL0509	{'CPn0395': 67.63}
CPn0118	{'CTL0283': 77.05}
CPn0872	{'CTL0100': 66.61}
CTL0519	{'CPn0416': 80.84}
CPnt38	{'CTL_t28': 89.29}
CPn1030	{'CTL0629': 68.46}
CTL0851	{'CPn0793': 66.7}
CTL0782	{'CPn0639': 72.6}
CTL0757	{'CPn0615': 67.13}
CPn1031	{'CTL0628': 69.21}
CPn0895	{'CTL0121': 78.18}
CTL0459	{'CPn0160': 67.36}
CTL0442	{'CPn0275': 74.23}
CTL0745	{'CPn0602': 68.97}
CTL0220	{'CPn1005': 72.67}
CTL0227	{'CPn1012': 70.83}
CTL0604	{'CPn0021': 67.07}
CPn0416	{'CTL0519': 80.84}
CPn0800	{'CTL0850': 69.36}
CTL0770	{'CPn0627': 80.65}
CTL0081	{'CPn0853': 72.38}
CPnt21	{'CTL_t19': 97.59}
CTL0608	{'CPn1059': 68.83}
CTL0035	{'CPn0710': 78.84}
CPn0208	{'CTL0457': 67.97}
CPn0058	{'CTL0545': 74.13}
CTL0670	{'CPn0540': 64.08}
CTL0498	{'CPn0305': 73.69}
CPn0362	{'CTL0317': 69.45}
CPn1059	{'CTL0608': 68.83}
CPn0475	{'CTL0245': 68.0}
CPn0845	{'CTL0073': 69.97}
CPn0543	{'CTL0674': 68.05}
CPn0564	{'CTL0708a': 67.55}
CPn1014	{'CTL0231': 73.04}
CPn0652	{'CTL0795': 71.73}
CPn0962	{'CTL0182': 68.22}
CPn0394	{'CTL0508': 63.81}
CTL0747	{'CPn0604': 68.29}
CTL0198	{'CPn0983': 69.61}
CPn0138	{'CTL0462': 68.41}
CTL0627	{'CPn1032': 78.09}
CPn0744	{'CTL0001': 66.46}
CTL0821	{'CPn0832': 68.76}
CPn0723	{'CTL0022': 74.86}
CTL0115	{'CPn0889': 66.59}
CPn0323	{'CTL0345': 78.35}
CPn0101	{'CTL0267': 70.87}
CPn1032	{'CTL0627': 78.09}
CTL0139	{'CPn0916': 75.14}
CTL0187	{'CPn0967': 72.23}
CPn0327	{'CTL0341': 77.04}
CTL0300	{'CPn0386': 73.47}
CPn0848	{'CTL0076': 68.06}
CPnt04	{'CTL_t06': 100.0}
CTL0258	{'CPn0003': 68.65}
CPn0540	{'CTL0670': 64.08}
CTL0792	{'CPn0649': 67.6}
CTL0046	{'CPn0699': 68.99}
CPn1012	{'CTL0227': 70.83}
CTL0353	{'CPn0315': 79.89}
CTL0270	{'CPn0106': 69.2}
CPn0846	{'CTL0074': 75.55}
CTL0386	{'CPn0189': 67.93}
CPn0501	{'CTL0650': 66.57}
CPn0502	{'CTL0651': 73.88}
CPn0594	{'CTL0736': 66.24}
CTL0472	{'CPn0264': 71.02}
CTL0610	{'CPn1057': 66.62}
CPn0645	{'CTL0788': 69.94}
CPn0906	{'CTL0132': 71.02}
CTL0211	{'CPn0996': 70.98}
CPnt07	{'CTL_t14': 100.0}
CTL_t11	{'CPnt23': 100.0}
CTL0403	{'CPn0151': 67.4}
CPn0348	{'CTL0324': 72.96}
CTL0723	{'CPn0580': 68.24}
CTL0132	{'CPn0906': 71.02}
CTL_t14	{'CPnt07': 100.0}
CTL_t36	{'CPnt35': 100.0}
CTL0061	{'CPn0680': 71.1}
CTL0200	{'CPn0985': 75.53}
CTL0595	{'CPn0032': 75.17}
CTL0685	{'CPn0513': 66.13}
CTL0650	{'CPn0501': 66.57}
CTL0194	{'CPn0974': 72.61}
CTL0120	{'CPn0894': 72.48}
CPn0853	{'CTL0081': 72.38}
CPn0625	{'CTL0768': 78.77}
CTL0221	{'CPn1006': 79.95}
CPn0560	{'CTL0705': 73.55}
CPn0290	{'CTL0483': 66.9}
CTL0749	{'CPn0606': 65.58}
CPn0184	{'CTL0377': 74.87}
CTL0096	{'CPn0868': 67.92}
CTL0129	{'CPn0903': 69.74}
CPn0090	{'CTL0558': 66.45}
CPn0921	{'CTL0144': 66.04}
CTL0779	{'CPn0636': 72.8}
CPn0359	{'CTL0320': 76.17}
CTL0193	{'CPn0973': 68.71}
CPn0604	{'CTL0747': 68.29}
CPnt12	{'CTL_t07': 97.3}
CTL0561	{'CPn0087': 67.83}
CTL0776	{'CPn0633': 76.99}
CTL0710	{'CPn0566': 69.09}
CPn0429	{'CTL0532': 73.8}
CPnt20	{'CTL_t30': 97.75}
CTL0684	{'CPn0512': 69.78}
CTL0705	{'CPn0560': 73.55}
CPn0430	{'CTL0533': 71.76}
CTL0319	{'CPn0360': 66.22}
CPn0306	{'CTL0499': 69.19}
CPn0188	{'CTL0387': 68.96}
CTL0162	{'CPn0942': 68.02}
CPn0952	{'CTL0171': 79.12}
CTL_t35	{'CPnt09': 97.59}
CPnt35	{'CTL_t36': 100.0}
CTL0066	{'CPn0837': 69.93}
CTL0216	{'CPn1001': 72.99}
CPn0073	{'CTL0575': 79.28}
CTL0057	{'CPn0684': 71.54}
CTL0274	{'CPn0109': 70.9}
CPn0786	{'CTL0859': 67.32}
CPn0318	{'CTL0350': 72.92}
CPn0373	{'CTL0313': 67.82}
CPn0387	{'CTL0299': 81.15}
CPn0849	{'CTL0077': 74.44}
CPn0669	{'CTL0810': 72.79}
CPn0619	{'CTL0762': 75.54}
CTL0775	{'CPn0632': 70.97}
CPn0096	{'CTL0587': 65.11}
