Query	Subject	% Similarity	E Value
TC_RS00005	CTL0001	80.38	0.0
TC_RS00010	CTL0002	81.94	0.0
TC_RS00015	CTL0003	85.06	9.999999999999998e-140
TC_RS00020	CTL0004	80.81	0.0
TC_RS00025	CTL_t01	100.0	4.9999999999999996e-33
TC_RS00030	CTL0005	82.54	0.0
TC_RS00035	CTL0006	80.99	0.0
TC_RS00040	CTL0007	78.24	0.0
TC_RS00045	CTL0008	78.77	0.0
TC_RS00050	CTL0009	79.89	0.0
TC_RS00055	CTL0010	78.82	0.0
TC_RS00060	CTL0011	100.0	0.001
TC_RS00065	CTL0011	81.52	0.0
TC_RS00070	CTL0012	81.69	0.0
TC_RS00075	CTL0013	87.88	3.999999999999999e-105
TC_RS00080	CTL0014	76.16	0.0
TC_RS00085	CTL0015	72.23	9.999999999999999e-84
TC_RS00090	CTL0016	78.94	0.0
TC_RS00095	CTL0017	74.46	5e-89
TC_RS00100	CTL0018	85.43	0.0
TC_RS00105	CTL0019	76.52	0.0
TC_RS00110	CTL0020	77.37	0.0
TC_RS00115	CTL0021	81.11	2e-44
TC_RS00120	CTL0022	84.72	0.0
TC_RS00125	CTL0023	82.62	2.999999999999999e-142
TC_RS00130	CTL0024	82.22	0.0
TC_RS00135	CTL_t03	100.0	4.9999999999999996e-33
TC_RS00140	CTL0025	67.97	6e-21
TC_RS00145	CTL0026	70.95	1e-23
TC_RS00150	CTL0027	82.32	0.0
TC_RS00155	CTL0028	90.3	5.9999999999999995e-90
TC_RS00160	CTL0029	82.33	0.0
TC_RS00165	CTL0030	80.86	0.0
TC_RS00170	CTL0031	73.41	9.999999999999998e-164
TC_RS00175	CTL0032	88.56	1.9999999999999995e-148
TC_RS00180	CTL0033	80.13	0.0
TC_RS00185	CTL0034	87.84	2.999999999999999e-88
TC_RS00190	CTL0035	87.55	6.999999999999998e-83
TC_RS00195	CTL0036	82.18	9.999999999999996e-128
TC_RS00200	CTL0037	80.21	7.999999999999997e-176
TC_RS00205	CTL0038	85.4	0.0
TC_RS00210	CTL0039	89.74	0.0
TC_RS00215	CTL0040	76.46	0.0
TC_RS00220	CTL0041	84.15	0.0
TC_RS00225	CTL0042	81.81	0.0
TC_RS00230	CTL0043	82.43	0.0
TC_RS00235	CTL_t31	100.0	4.9999999999999996e-33
TC_RS00240	CTL0044	79.37	0.0
TC_RS00245	CTL0045	81.25	3.999999999999999e-140
TC_RS00250	CTL_t20	98.63	1.9999999999999997e-31
TC_RS00255	CTL_t10	100.0	4e-34
TC_RS00260	CTL0046	85.19	4.999999999999998e-177
TC_RS00265	CTL0047	84.01	0.0
TC_RS00270	CTL0048	84.33	0.0
TC_RS00275	CTL0049	84.48	0.0
TC_RS00280	CTL_t11	100.0	6e-32
TC_RS00285	CTL0050	79.07	0.0
TC_RS00290	CTL0051	81.15	0.0
TC_RS00295	CTL0052	83.93	0.0
TC_RS00300	CTL0053	83.4	0.0
TC_RS00305	CTL0054	80.62	0.0
TC_RS00310	CTL0055	73.31	0.0
TC_RS00315	CTL0056	78.54	0.0
TC_RS00320	CTL0057	80.96	0.0
TC_RS00325	CTL0058	78.86	0.0
TC_RS00330	CTL0059	79.46	0.0
TC_RS00335	CTL0060	84.44	0.0
TC_RS00340	CTL0061	80.72	0.0
TC_RS00345	CTL0062	80.45	0.0
TC_RS00350	CTL0063	68.8	3.999999999999999e-80
TC_RS00355	CTL0064	72.64	0.0
TC_RS00360	CTL0065	81.2	0.0
TC_RS00365	CTL0066	78.49	6.999999999999997e-145
TC_RS00370	CTL0067	82.76	0.0
TC_RS00375	CTL0052	100.0	0.21
TC_RS00380	CTL0068	74.75	3.999999999999999e-169
TC_RS00385	CTL0069	82.81	0.0
TC_RS00390	CTL0070	83.25	0.0
