Query	Subject	% Similarity	E Value
CT_875	TC_RS01355	65.68	2.999999999999999e-66
CT_001	TC_RS01360	83.88	9.999999999999998e-81
CT_002	TC_RS01365	89.4	2.9999999999999995e-113
CT_003	TC_RS01370	84.76	0.0
CT_004	TC_RS01375	85.49	0.0
CT_005	TC_RS01380	81.84	8.999999999999997e-134
CT_006	TC_RS01385	77.15	2.9999999999999993e-111
CT_007	TC_RS01390	81.18	0.0
CT_008	TC_RS01395	80.79	0.0
CT_009	TC_RS01400	84.71	1.9999999999999994e-130
CT_010	TC_RS01405	79.97	0.0
CT_011	TC_RS01410	81.23	0.0
CT_012	TC_RS01415	84.03	0.0
CT_013	TC_RS01420	84.28	0.0
CT_014	TC_RS01425	78.82	0.0
CT_015	TC_RS01430	80.0	0.0
CT_016	TC_RS01435	79.42	0.0
CT_017	TC_RS01440	83.13	0.0
CT_018	TC_RS01445	72.89	3e-59
CT_s01	TC_RS04780	93.36	1.9999999999999996e-180
CT_019	TC_RS01450	81.71	0.0
CT_020	TC_RS01455	81.45	0.0
CT_021	TC_RS01460	77.35	2.999999999999999e-163
CT_022	TC_RS01465	90.21	1e-126
CT_023	TC_RS01470	82.59	0.0
CT_024	TC_RS01475	80.3	0.0
CT_025	TC_RS01480	84.51	0.0
CT_026	TC_RS01485	91.43	6.999999999999999e-142
CT_027	TC_RS01490	81.04	0.0
CT_028	TC_RS01495	92.35	2.999999999999999e-153
CT_029	TC_RS01500	84.25	0.0
CT_030	TC_RS01505	82.04	5.999999999999998e-177
CT_031	TC_RS01510	83.17	9.999999999999998e-88
CT_032	TC_RS01515	82.7	0.0
CT_033	TC_RS01520	81.62	0.0
CT_034	TC_RS01525	79.58	0.0
CT_035	TC_RS01530	76.97	2.9999999999999987e-170
CT_036	TC_RS01535	72.31	0.0
CT_037	TC_RS03835	100.0	3.3
CT_037	TC_RS01585	100.0	3.3
CT_037	TC_RS01585	100.0	3.3
CT_037	TC_RS00690	89.47	3.3
CT_037	TC_RS00055	100.0	3.3
CT_t01	TC_RS01540	100.0	1.9999999999999998e-32
CT_038	TC_RS01545	83.86	1.9999999999999994e-103
CT_039	TC_RS01550	84.47	0.0
CT_039.1	TC_RS03190	100.0	0.11
CT_040	TC_RS01555	85.77	0.0
CT_041	TC_RS01560	83.6	0.0
CT_042	TC_RS01565	78.71	0.0
CT_043	TC_RS01570	92.25	0.0
CT_044	TC_RS01575	86.05	9.999999999999996e-160
CT_045	TC_RS01580	83.6	0.0
CT_046	TC_RS01585	85.1	0.0
CT_047	TC_RS01590	77.43	0.0
CT_048	TC_RS01595	82.87	0.0
CT_049	TC_RS01600	71.32	2.999999999999999e-110
CT_050	TC_RS04785	76.23	2e-17
CT_051	TC_RS01610	68.77	4.999999999999999e-113
CT_052	TC_RS01615	80.34	0.0
CT_053	TC_RS01620	87.7	2.9999999999999993e-160
CT_054	TC_RS01630	80.51	0.0
CT_055	TC_RS01635	83.23	0.0
CT_056	TC_RS01640	79.1	9.999999999999995e-180
CT_057	TC_RS01645	76.17	0.0
CT_058	TC_RS01650	63.64	3e-50
CT_059	TC_RS01655	79.27	1.9999999999999996e-64
CT_t02	TC_RS01660	100.0	4e-34
CT_060	TC_RS01665	79.94	0.0
CT_061	TC_RS01670	83.44	0.0
CT_062	TC_RS01675	81.84	0.0
CT_063	TC_RS01680	82.23	0.0
CT_064	TC_RS01685	85.18	0.0
CT_065	TC_RS01690	89.12	0.0
CT_066	TC_RS01700	88.26	1.9999999999999992e-175
CT_067	TC_RS01710	80.73	0.0
CT_068	TC_RS01715	85.26	0.0
CT_069	TC_RS01720	81.82	0.0
CT_070	TC_RS01725	82.13	0.0
CT_071	TC_RS01730	78.7	0.0
CT_072	TC_RS01735	82.39	0.0
CT_073	TC_RS01740	85.16	0.0
CT_074	TC_RS01745	79.52	0.0
CT_075	TC_RS01750	84.47	0.0
CT_076	TC_RS01755	84.65	4.999999999999998e-145
CT_077	TC_RS01760	77.02	0.0
CT_078	TC_RS01765	79.6	0.0
CT_079	TC_RS01770	80.54	9.999999999999997e-116
CT_080	TC_RS01775	80.2	4.999999999999999e-73
CT_081	TC_RS04790	82.94	7.999999999999999e-83
CT_082	TC_RS01780	76.48	0.0
CT_083	TC_RS01785	81.02	4.9999999999999994e-126
CT_084	TC_RS01790	76.98	0.0
CT_085	TC_RS01795	79.32	0.0
CT_086	TC_RS01800	91.48	7.999999999999999e-108
CT_087	TC_RS01805	77.97	0.0
CT_088	TC_RS01810	79.82	9.999999999999999e-109
CT_089	TC_RS01815	75.28	0.0
CT_090	TC_RS01820	87.4	0.0
CT_091	TC_RS01825	86.89	0.0
CT_092	TC_RS01830	82.28	0.0
CT_093	TC_RS01835	75.94	0.0
CT_094	TC_RS01840	85.36	0.0
CT_095	TC_RS01845	87.63	4.999999999999998e-131
CT_096	TC_RS01850	80.72	0.0
CT_097	TC_RS01855	90.19	0.0
CT_098	TC_RS01860	88.21	0.0
CT_099	TC_RS01865	81.39	0.0
CT_100	TC_RS01870	78.39	1e-81
CT_101	TC_RS01875	75.28	2.9999999999999996e-85
CT_102	TC_RS01880	81.39	1e-126
CT_103	TC_RS01885	82.41	0.0
CT_104	TC_RS01890	83.39	0.0
CT_105	TC_RS04795	69.35	5e-89
CT_106	TC_RS01900	80.85	0.0
CT_107	TC_RS01905	76.45	0.0
CT_108	TC_RS01910	78.12	1.9999999999999995e-177
CT_109	TC_RS01915	78.91	0.0
CT_110	TC_RS01920	88.99	0.0
CT_111	TC_RS01925	93.53	2.999999999999999e-133
CT_112	TC_RS01930	79.64	0.0
CT_113	TC_RS01935	83.76	0.0
CT_114	TC_RS01940	74.36	0.0
CT_115	TC_RS02515	100.0	0.33
CT_115	TC_RS00090	91.3	0.33
CT_116	TC_RS02870	90.91	0.08800000000000001
CT_116	TC_RS00365	100.0	0.08800000000000001
CT_117	TC_RS01955	74.05	5.999999999999999e-28
CT_118	TC_RS01960	69.3	9e-16
CT_119	TC_RS01965	69.73	5e-53
CT_120	TC_RS01615	90.91	0.63
CT_121	TC_RS01975	85.88	0.0
CT_122	TC_RS01980	86.02	0.0
CT_123	TC_RS01985	84.07	1.9999999999999995e-151
CT_124	TC_RS01990	83.25	0.0
CT_125	TC_RS01995	94.04	0.0
CT_126	TC_RS02000	88.92	9.999999999999997e-145
CT_127	TC_RS02005	72.69	1.9999999999999997e-133
CT_128	TC_RS02010	80.12	9.999999999999998e-175
CT_129	TC_RS02015	82.95	0.0
CT_130	TC_RS02020	78.27	4.999999999999998e-160
CT_131	TC_RS02025	79.03	0.0
CT_132	TC_RS02030	79.66	0.0
CT_133	TC_RS02035	78.2	0.0
CT_134	TC_RS02040	72.54	4e-57
CT_135	TC_RS02045	70.86	3.9999999999999987e-144
CT_136	TC_RS02050	81.25	0.0
CT_137	TC_RS02055	73.26	1.9999999999999995e-140
CT_138	TC_RS02060	77.49	0.0
CT_139	TC_RS02065	73.94	0.0
CT_140	TC_RS02070	75.98	1.9999999999999995e-140
CT_141	TC_RS02075	80.36	9.999999999999999e-115
CT_t03	TC_RS02080	100.0	4.9999999999999996e-33
CT_t04	TC_RS02085	100.0	2e-38
CT_142	TC_RS02090	75.76	6.999999999999997e-172
CT_143	TC_RS02095	74.08	2.999999999999999e-150
CT_144	TC_RS02100	73.53	8.999999999999999e-145
CT_145	TC_RS02105	77.67	0.0
CT_146	TC_RS02110	77.23	0.0
CT_147	TC_RS02115	67.91	0.0
CT_148	TC_RS02120	79.75	0.0
CT_149	TC_RS02125	75.87	0.0
CT_150	TC_RS02135	96.23	3.999999999999999e-71
CT_151	TC_RS02140	80.36	0.0
CT_152	TC_RS02145	78.99	5.999999999999998e-165
CT_153	TC_RS02150	72.14	0.0
CT_154	TC_RS02160	82.35	3e-07
CT_155	TC_RS01060	100.0	0.75
CT_156	TC_RS02110	80.0	0.075
CT_157	TC_RS04135	100.0	0.28
CT_158	TC_RS03915	90.0	2.0
CT_158	TC_RS03495	94.44	2.0
CT_159	TC_RS00830	86.67	0.005
CT_160	TC_RS01870	74.47	0.39
CT_161	TC_RS03575	90.91	0.17
CT_161	TC_RS02700	88.0	0.17
CT_162	TC_RS03735	94.12	2.2
CT_162	TC_RS02695	100.0	2.2
CT_162	TC_RS02105	100.0	2.2
CT_162	TC_RS01630	89.47	2.2
CT_162	TC_RS00955	94.74	2.2
CT_163	TC_RS03960	95.0	0.38
CT_163	TC_RS02595	90.91	0.38
CT_163	TC_RS01915	83.87	0.38
CT_164	TC_RS03085	84.85	0.016
CT_165	TC_RS02185	77.98	1e-45
CT_166	TC_RS02185	71.79	0.0
CT_167	TC_RS02185	70.06	4.9999999999999987e-138
CT_168	TC_RS02185	76.68	9.999999999999999e-55
CT_169	TC_RS03040	90.48	0.22
CT_170	TC_RS04005	79.41	0.94
CT_170	TC_RS02590	90.48	0.94
CT_170	TC_RS01325	85.71	0.94
CT_170	TC_RS01295	100.0	0.94
CT_171	TC_RS02400	85.19	0.17
CT_172	TC_RS00165	100.0	0.11
CT_172.1	TC_RS01025	95.24	0.01
CT_173	TC_RS02180	94.74	0.21
CT_174	TC_RS02550	100.0	0.1
CT_175	TC_RS02225	75.2	0.0
CT_176	TC_RS02235	78.43	1e-94
CT_177	TC_RS02240	81.52	0.0
CT_178	TC_RS02245	76.79	0.0
CT_179	TC_RS02250	72.44	3.999999999999999e-71
CT_180	TC_RS02255	75.36	2.999999999999999e-130
CT_t05	TC_RS02260	100.0	1e-33
CT_t06	TC_RS02265	98.63	1.9999999999999997e-31
CT_181	TC_RS02270	77.89	1.9999999999999995e-164
CT_182	TC_RS02275	82.48	0.0
CT_183	TC_RS02280	79.25	0.0
CT_184	TC_RS02285	79.54	9.999999999999999e-108
CT_185	TC_RS02290	82.81	0.0
CT_186	TC_RS02295	81.84	0.0
CT_187	TC_RS02300	77.29	0.0
CT_188	TC_RS02305	79.15	9.999999999999997e-148
CT_189	TC_RS02310	84.21	0.0
CT_190	TC_RS02315	81.5	0.0
CT_191	TC_RS02320	86.86	2.999999999999999e-120
CT_192	TC_RS02325	64.58	2.9999999999999996e-24
CT_193	TC_RS02330	81.97	0.0
CT_194	TC_RS02335	83.64	0.0
CT_195	TC_RS02340	75.0	0.0
CT_196	TC_RS01250	91.3	0.24
CT_197	TC_RS02350	83.2	0.0
CT_198	TC_RS02355	78.22	0.0
CT_199	TC_RS02360	82.27	0.0
CT_200	TC_RS02365	81.75	0.0
CT_201	TC_RS02370	79.67	0.0
CT_202	TC_RS02375	79.44	0.0
CT_203	TC_RS02380	86.53	0.0
CT_204	TC_RS02385	84.25	0.0
CT_205	TC_RS02390	79.52	0.0
CT_206	TC_RS02395	78.4	0.0
CT_207	TC_RS02400	80.89	0.0
CT_t07	TC_RS02405	100.0	1e-33
CT_t08	TC_RS02410	100.0	4.9999999999999996e-33
CT_208	TC_RS02415	77.28	0.0
CT_209	TC_RS02420	80.38	0.0
CT_210	TC_RS02425	74.29	0.0
CT_211	TC_RS02430	79.23	3.999999999999999e-141
CT_212	TC_RS02435	80.76	2.999999999999999e-116
CT_213	TC_RS02440	77.95	2.999999999999999e-163
CT_214	TC_RS02445	72.41	0.0
CT_215	TC_RS02455	85.71	0.0
CT_216	TC_RS02460	83.23	0.0
CT_217	TC_RS02465	83.21	0.0
CT_218	TC_RS02475	79.93	0.0
CT_219	TC_RS02480	77.45	0.0
CT_220	TC_RS02485	79.45	5.9999999999999984e-145
CT_221	TC_RS02490	84.5	0.0
CT_t09	TC_RS02495	98.65	6e-32
CT_t10	TC_RS02500	100.0	4.9999999999999996e-33
CT_221.1	TC_RS02420	91.3	0.008
CT_223	TC_RS02510	70.42	5.999999999999999e-20
CT_224	TC_RS02845	87.5	0.34
CT_225	TC_RS03245	84.85	0.006999999999999999
CT_226	TC_RS02525	85.92	2e-17
CT_227	TC_RS02655	100.0	0.08900000000000001
CT_228	TC_RS02535	68.43	2e-44
CT_229	TC_RS03280	88.89	0.012
CT_230	TC_RS02545	76.89	0.0
CT_231	TC_RS02550	81.11	0.0
CT_232	TC_RS04805	76.62	4e-62
CT_233	TC_RS02560	77.46	5e-76
CT_234	TC_RS02565	80.17	0.0
CT_235	TC_RS02570	84.3	8.999999999999998e-129
CT_236	TC_RS02575	92.31	1.9999999999999993e-95
CT_237	TC_RS02580	82.46	0.0
CT_238	TC_RS02585	80.8	0.0
CT_239	TC_RS02590	83.32	0.0
CT_240	TC_RS02595	79.8	1.9999999999999997e-152
CT_241	TC_RS02600	82.51	0.0
CT_242	TC_RS02605	84.67	2.9999999999999987e-167
CT_243	TC_RS02610	82.72	0.0
CT_244	TC_RS02615	74.39	0.0
CT_245	TC_RS02620	83.97	0.0
CT_246	TC_RS02625	85.51	0.0
CT_247	TC_RS02630	79.83	0.0
CT_248	TC_RS02635	84.42	0.0
CT_249	TC_RS02640	69.93	2e-28
CT_250	TC_RS02645	82.55	0.0
CT_251	TC_RS02650	82.1	0.0
CT_252	TC_RS02655	79.78	0.0
CT_253	TC_RS02660	85.45	0.0
CT_254	TC_RS02665	75.45	6.9999999999999986e-152
CT_255	TC_RS02670	80.68	4.999999999999999e-100
CT_256	TC_RS02675	82.02	0.0
CT_257	TC_RS02680	81.23	0.0
CT_258	TC_RS02685	79.37	0.0
CT_259	TC_RS02690	83.0	0.0
CT_260	TC_RS02695	83.51	9.999999999999998e-142
CT_261	TC_RS02700	83.55	0.0
CT_262	TC_RS02705	78.86	0.0
CT_263	TC_RS02710	72.61	2.9999999999999996e-85
CT_264	TC_RS02715	81.32	0.0
CT_265	TC_RS02720	88.21	0.0
CT_266	TC_RS02725	78.48	0.0
CT_267	TC_RS02730	95.05	1.9999999999999996e-136
CT_268	TC_RS02735	79.67	0.0
CT_269	TC_RS02740	79.35	0.0
CT_270	TC_RS02750	81.21	0.0
CT_271	TC_RS02755	88.19	6.999999999999997e-103
CT_272	TC_RS02760	84.27	0.0
CT_273	TC_RS02765	80.39	3.999999999999999e-147
CT_274	TC_RS02770	83.81	2.9999999999999993e-128
CT_275	TC_RS02775	87.21	0.0
CT_276	TC_RS02780	81.32	3.999999999999999e-160
CT_277	TC_RS02785	76.74	4.999999999999999e-141
CT_278	TC_RS02790	82.8	0.0
CT_279	TC_RS02795	80.17	0.0
CT_280	TC_RS02800	83.0	0.0
CT_281	TC_RS02805	85.43	0.0
CT_282	TC_RS02810	81.92	5.999999999999999e-98
CT_283	TC_RS02815	78.86	0.0
CT_284	TC_RS02820	77.35	0.0
CT_285	TC_RS02825	79.69	0.0
CT_286	TC_RS02830	85.14	0.0
CT_287	TC_RS02835	82.92	0.0
CT_288	TC_RS02840	69.39	0.0
CT_289	TC_RS02845	74.69	2.9999999999999994e-114
CT_290	TC_RS02850	81.71	0.0
CT_291	TC_RS02855	82.6	1.9999999999999995e-137
CT_292	TC_RS02860	84.7	3.9999999999999994e-139
CT_293	TC_RS02865	84.32	0.0
CT_294	TC_RS02870	84.47	0.0
CT_295	TC_RS02875	77.9	0.0
CT_296	TC_RS02880	73.45	1e-77
CT_297	TC_RS02885	80.83	0.0
CT_298	TC_RS02890	82.27	0.0
CT_299	TC_RS02895	77.97	3.999999999999999e-161
CT_300	TC_RS02980	90.0	0.93
CT_300	TC_RS02830	100.0	0.93
CT_301	TC_RS02910	78.07	0.0
CT_302	TC_RS02915	82.32	0.0
CT_303	TC_RS02920	83.54	1.9999999999999994e-124
CT_304	TC_RS02925	91.31	2.9999999999999987e-173
CT_305	TC_RS02930	82.34	0.0
CT_306	TC_RS02935	83.99	0.0
CT_307	TC_RS02940	87.02	0.0
CT_308	TC_RS02945	86.49	0.0
CT_309	TC_RS02950	86.39	0.0
CT_310	TC_RS02955	83.23	0.0
CT_311	TC_RS02960	79.86	0.0
CT_312	TC_RS02965	83.15	4.999999999999999e-106
CT_313	TC_RS02970	86.48	0.0
CT_314	TC_RS02975	86.9	0.0
CT_315	TC_RS02980	87.42	0.0
CT_316	TC_RS02985	97.71	0.0
CT_317	TC_RS02990	91.33	0.0
CT_318	TC_RS02995	91.42	0.0
CT_319	TC_RS03000	92.72	0.0
CT_320	TC_RS03005	90.86	0.0
CT_321	TC_RS03010	91.16	3.999999999999999e-98
CT_t11	TC_RS03015	100.0	4.9999999999999996e-33
CT_322	TC_RS03020	92.07	0.0
CT_t12	TC_RS03025	100.0	1.9999999999999998e-32
CT_323	TC_RS03030	90.95	1e-85
CT_324	TC_RS03035	77.22	0.0
CT_325	TC_RS03040	79.96	1.9999999999999994e-111
CT_326	TC_RS03045	70.16	3.999999999999999e-115
CT_326.1	TC_RS01425	94.44	0.48
CT_326.1	TC_RS00540	90.0	0.48
CT_326.1	TC_RS00215	94.44	0.48
CT_326.2	TC_RS04460	84.38	0.038
CT_t13	TC_RS03050	100.0	4.9999999999999996e-33
CT_327	TC_RS03060	77.24	5.999999999999998e-133
CT_328	TC_RS03065	79.42	0.0
CT_329	TC_RS03070	81.07	0.0
CT_330	TC_RS03080	79.12	3e-63
CT_331	TC_RS03085	77.64	0.0
CT_332	TC_RS03090	83.36	0.0
CT_333	TC_RS03095	77.4	0.0
CT_334	TC_RS03100	79.46	0.0
CT_335	TC_RS03105	88.66	9.999999999999998e-106
CT_336	TC_RS03110	78.04	0.0
CT_337	TC_RS03115	80.0	5.999999999999999e-85
CT_338	TC_RS03120	79.09	1.9999999999999996e-106
CT_339	TC_RS03130	75.41	0.0
CT_340	TC_RS03135	83.85	0.0
CT_341	TC_RS03140	85.67	0.0
CT_342	TC_RS03145	94.89	5e-76
CT_343	TC_RS03150	78.01	1.9999999999999996e-146
CT_344	TC_RS03155	84.84	0.0
CT_345	TC_RS03160	72.63	4e-37
CT_346	TC_RS03165	84.14	0.0
CT_347	TC_RS03170	83.23	0.0
CT_348	TC_RS03175	83.81	0.0
CT_349	TC_RS03180	83.73	2.9999999999999988e-180
CT_350	TC_RS03185	79.0	0.0
CT_351	TC_RS03190	81.46	0.0
CT_352	TC_RS03195	92.66	2.9999999999999992e-89
CT_353	TC_RS03200	84.43	2.9999999999999987e-173
CT_354	TC_RS03205	82.73	0.0
CT_355	TC_RS03210	82.58	0.0
CT_356	TC_RS03215	79.91	0.0
CT_t14	TC_RS03220	100.0	5.999999999999999e-39
CT_357R	TC_RS02045	83.78	0.0004
CT_357	TC_RS01245	94.74	0.25
CT_358	TC_RS00360	94.74	0.42
CT_359	TC_RS03235	77.66	6.999999999999999e-132
CT_360	TC_RS03240	72.62	2.999999999999999e-92
CT_361	TC_RS03245	79.09	0.0
CT_362	TC_RS03250	76.9	0.0
CT_363	TC_RS03255	80.12	0.0
CT_364	TC_RS03260	73.99	9.999999999999997e-131
CT_365	TC_RS03265	74.68	0.0
CT_366	TC_RS03270	79.34	0.0
CT_367	TC_RS03275	73.67	2.999999999999999e-92
CT_368	TC_RS03280	79.52	0.0
CT_369	TC_RS03285	75.29	0.0
CT_370	TC_RS03290	75.57	0.0
CT_371	TC_RS03295	78.98	0.0
CT_372	TC_RS03300	76.77	0.0
CT_373	TC_RS03305	85.71	0.0
CT_374	TC_RS03310	80.29	0.0
CT_375	TC_RS03315	82.79	0.0
CT_376	TC_RS03320	83.28	0.0
CT_377	TC_RS03325	87.86	1e-45
CT_378	TC_RS03330	80.24	0.0
CT_379	TC_RS03335	82.65	0.0
CT_380	TC_RS03340	81.05	0.0
CT_381	TC_RS03345	79.25	0.0
CT_382	TC_RS03350	78.21	0.0
CT_382.1	TC_RS03355	91.1	2.9999999999999995e-73
CT_383	TC_RS03360	70.25	1.9999999999999996e-90
CT_384	TC_RS03365	77.13	0.0
CT_385	TC_RS03370	90.15	1.9999999999999995e-129
CT_386	TC_RS03375	83.79	0.0
CT_387	TC_RS03385	81.79	0.0
CT_388	TC_RS03390	83.56	9.999999999999998e-88
CT_389	TC_RS03395	83.78	0.0
CT_390	TC_RS03400	78.05	0.0
CT_391	TC_RS03405	79.72	0.0
CT_392	TC_RS03410	70.71	9.999999999999996e-151
CT_393	TC_RS03415	80.93	0.0
CT_394	TC_RS03420	83.73	0.0
CT_395	TC_RS03425	87.43	0.0
CT_396	TC_RS03430	88.2	0.0
CT_397	TC_RS03435	81.6	0.0
CT_398	TC_RS03440	88.5	0.0
CT_398.1	TC_RS04740	93.51	9.999999999999997e-132
CT_399	TC_RS03445	81.54	0.0
CT_400	TC_RS03450	81.28	0.0
CT_401	TC_RS03455	81.28	0.0
CT_402	TC_RS03460	81.8	0.0
CT_403	TC_RS03465	81.84	0.0
CT_404	TC_RS03470	82.73	0.0
CT_405	TC_RS03475	82.2	1.9999999999999996e-170
CT_406	TC_RS03480	89.25	2.9999999999999987e-173
CT_407	TC_RS03485	89.6	5.999999999999998e-143
CT_408	TC_RS03490	80.4	8.999999999999997e-130
CT_409	TC_RS03495	80.68	0.0
CT_410	TC_RS03500	81.87	0.0
CT_411	TC_RS03505	79.36	0.0
CT_412	TC_RS03510	76.91	0.0
CT_413	TC_RS03515	75.16	0.0
CT_414	TC_RS03520	79.14	0.0
CT_414	TC_RS03520	75.37	0.0
CT_t15	TC_RS03525	100.0	5.999999999999999e-39
CT_415	TC_RS03530	80.26	0.0
CT_416	TC_RS03535	81.15	0.0
CT_417	TC_RS03540	82.31	0.0
CT_418	TC_RS03545	84.31	0.0
CT_419	TC_RS03550	95.24	2.9999999999999995e-113
CT_420	TC_RS03555	92.9	4.999999999999999e-137
CT_t16	TC_RS03560	100.0	4.9999999999999996e-33
CT_421	TC_RS03565	82.45	0.0
CT_421.1	TC_RS03745	88.0	0.4
CT_421.2	TC_RS04815	90.06	1e-58
CT_422	TC_RS03570	81.07	1.9999999999999995e-131
CT_423	TC_RS03575	77.01	0.0
CT_424	TC_RS03580	87.54	2.999999999999999e-121
CT_425	TC_RS03585	83.98	0.0
CT_426	TC_RS03590	79.87	0.0
CT_427	TC_RS03595	75.99	4.999999999999998e-161
CT_428	TC_RS03600	74.71	3.999999999999999e-129
CT_429	TC_RS03605	83.08	0.0
CT_430	TC_RS03610	79.9	0.0
CT_431	TC_RS03615	87.91	0.0
CT_432	TC_RS03620	84.81	0.0
CT_433	TC_RS03625	75.63	1.9999999999999997e-133
CT_434	TC_RS03630	77.56	1.9999999999999997e-113
CT_435	TC_RS03635	75.43	0.0
CT_436	TC_RS03640	93.4	1.9999999999999996e-136
CT_437	TC_RS03645	85.9	0.0
CT_438	TC_RS03650	92.41	0.0
CT_439	TC_RS03655	94.89	1.9999999999999994e-168
CT_440	TC_RS03660	79.94	7.999999999999999e-84
CT_441	TC_RS03665	82.0	0.0
CT_442	TC_RS03670	71.34	7e-42
CT_443	TC_RS03680	88.83	0.0
CT_444	TC_RS03685	90.26	1.9999999999999995e-102
CT_444.1	TC_RS03690	81.76	9e-43
CT_445	TC_RS03695	85.26	0.0
CT_446	TC_RS03700	83.69	1.9999999999999995e-169
CT_447	TC_RS03705	81.18	0.0
CT_448	TC_RS03710	80.73	0.0
CT_449	TC_RS03715	72.9	2.9999999999999997e-44
CT_450	TC_RS03720	84.65	0.0
CT_451	TC_RS03725	81.37	0.0
CT_452	TC_RS03730	80.34	4.999999999999999e-172
CT_453	TC_RS03735	82.8	0.0
CT_454	TC_RS03740	80.73	0.0
CT_455	TC_RS03745	83.05	0.0
CT_456	TC_RS03750	66.82	9.999999999999997e-125
CT_457	TC_RS03755	83.4	0.0
CT_458	TC_RS03760	82.07	7.999999999999997e-143
CT_459	TC_RS03765	86.02	0.0
CT_460	TC_RS03770	87.74	4.999999999999999e-91
CT_461	TC_RS03775	82.32	0.0
