Query	Best Match(es)
CTL_t10	{'CPnt24': 100.0}
CPnt22	{'CTL_t17': 96.43}
CPnt36	{'CTL_t27': 100.0}
CPn0525	{'CTL0655': 78.29}
CTL0104	{'CPn0876': 73.44}
CPn0118	{'CTL0283': 79.06}
CTL_t30	{'CPnt20': 97.75}
CPn0891	{'CTL0117': 74.14}
CTL_t12	{'CPnt31': 98.61}
CPn0937	{'CTL0155': 81.49}
CPnt02	{'CTL_t33': 95.83}
CPnt06	{'CTL_t22': 95.95}
CPnt26	{'CTL_t31': 97.26}
CTL0769	{'CPn0626': 76.04}
CTL_t26	{'CPnt13': 98.67}
CTL655a	{'CPns02': 81.61}
CPnt30	{'CTL_t05': 95.95}
CPnt32	{'CTL_t13': 95.95}
CTL0566	{'CPn0082': 78.8}
CPnr02	{'CTL_r03': 93.25}
CPnt08	{'CTL_t02': 98.63}
CPn0756	{'CTL0879': 80.46}
CTL_t22	{'CPnt06': 95.95}
CTL_t04	{'CPnt18': 97.3}
CTL_t02	{'CPnt08': 98.63}
CPnt09	{'CTL_t35': 97.59}
CPn0880	{'CTL0108': 75.6}
CTL0897	{'CPn0746': 73.79}
CTL_r02	{'CPnr01': 93.95}
CPn0549	{'CTL0695': 83.07}
CTL_t23	{'CPnt05': 100.0}
CPn0082	{'CTL0566': 78.8}
CPn0550	{'CTL0696': 79.54}
CPn0640	{'CTL0783': 83.41}
CPnt20	{'CTL_t30': 97.75}
CPn0654	{'CTL0797': 76.31}
CTL_t17	{'CPnt22': 96.43}
CPnt18	{'CTL_t04': 97.3}
CTL_t19	{'CPnt21': 97.59}
CPn0637	{'CTL0780': 81.35}
CTL0574	{'CPn0074': 83.16}
CTL0117	{'CPn0891': 74.14}
CPn0351	{'CTL0321': 75.03}
CPn0275	{'CTL0442': 81.92}
CTL0321	{'CPn0351': 75.05}
CTL_t25	{'CPnt29': 98.65}
CPnt04	{'CTL_t06': 100.0}
CTL_t18	{'CPnt19': 100.0}
CTL_t11	{'CPnt23': 100.0}
CPnt12	{'CTL_t07': 97.3}
CTL_t34	{'CPnt03': 95.71}
CTL_t01	{'CPnt28': 98.63}
CTL0800	{'CPn0658': 77.04}
CTL_t32	{'CPnt10': 100.0}
CPnt10	{'CTL_t32': 100.0}
CTL0797	{'CPn0654': 76.31}
CPn0074	{'CTL0574': 83.16}
CPn0876	{'CTL0104': 73.51}
CTL_t36	{'CPnt35': 100.0}
CTL_t37	{'CPnt11': 100.0}
CPnt31	{'CTL_t12': 98.61}
CPnt34	{'CTL_t09': 98.61}
CTL_t15	{'CPnt37': 97.59}
CPn0746	{'CTL0897': 73.79}
CPnt16	{'CTL_t24': 97.26}
CTL0879	{'CPn0756': 80.46}
CPnt19	{'CTL_t18': 100.0}
CPn0080	{'CTL0568': 83.84}
CPnt28	{'CTL_t01': 98.63}
CTL0168	{'CPn0949': 75.66}
CPn0841	{'CTL0070': 77.86}
CPn0219	{'CTL0445': 72.37}
CPnt37	{'CTL_t15': 97.59}
CTL0108	{'CPn0880': 75.56}
CTL_t35	{'CPnt09': 97.59}
CPn0387	{'CTL0299': 81.15}
CTL0442	{'CPn0275': 81.92}
CTL0695	{'CPn0549': 83.07}
CTL0299	{'CPn0387': 81.15}
CTL_t33	{'CPnt02': 95.83}
CPn0315	{'CTL0353': 80.16}
CTL0278	{'CPn0113': 78.43}
CPn0109	{'CTL0274': 72.23}
CPnt24	{'CTL_t10': 100.0}
CTL0696	{'CPn0550': 79.52}
CTL0652	{'CPn0503': 77.68}
CTL_t06	{'CPnt04': 100.0}
CPnt21	{'CTL_t19': 97.59}
CPnt11	{'CTL_t37': 100.0}
CPnt13	{'CTL_t26': 98.67}
CTL_t16	{'CPnt17': 95.18}
CTL0702	{'CPn0557': 75.09}
CPnt35	{'CTL_t36': 100.0}
CTL_t31	{'CPnt26': 97.26}
CPnt33	{'CTL_t08': 98.59}
CPn0557	{'CTL0702': 75.13}
CPnt07	{'CTL_t14': 100.0}
CTL0353	{'CPn0315': 80.15}
CTL0274	{'CPn0109': 72.22}
CTL_t05	{'CPnt30': 95.95}
CTL0445	{'CPn0219': 72.31}
CPnt05	{'CTL_t23': 100.0}
CTL0155	{'CPn0937': 81.49}
CPnt01	{'CTL_t21': 91.94}
CPn0658	{'CTL0800': 77.04}
CTL0783	{'CPn0640': 83.41}
CTL_r03	{'CPnr02': 93.25}
CTL0780	{'CPn0637': 81.35}
CTL0283	{'CPn0118': 79.06}
CPnt17	{'CTL_t16': 95.18}
CPnt29	{'CTL_t25': 98.65}
CPn0113	{'CTL0278': 78.43}
CPnt23	{'CTL_t11': 100.0}
CTL_t14	{'CPnt07': 100.0}
CPnt15	{'CTL_t29': 97.7}
CTL0561	{'CPn0087': 70.68}
CPn0087	{'CTL0561': 70.86}
CTL0655	{'CPn0525': 78.29}
CTL0568	{'CPn0080': 83.84}
CPn0949	{'CTL0168': 75.66}
CTL_t08	{'CPnt33': 98.59}
CPn0503	{'CTL0652': 77.68}
CTL_r01	{'CPnr01': 93.95}
CTL_t07	{'CPnt12': 97.3}
CPnr01	{'CTL_r02': 93.95, 'CTL_r01': 93.95}
CTL_t13	{'CPnt32': 95.95}
CPn0626	{'CTL0769': 76.04}
CTL_t09	{'CPnt34': 98.61}
CPn0134	{'CTL0365': 81.13}
CTL_t21	{'CPnt01': 91.94}
CPns02	{'CTL655a': 81.67}
CTL_t29	{'CPnt15': 97.7}
CTL0070	{'CPn0841': 77.86}
CTL0365	{'CPn0134': 81.13}
CTL_t27	{'CPnt36': 100.0}
CPnt03	{'CTL_t34': 95.71}
CTL_t24	{'CPnt16': 97.26}
