muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS03400']	['CPn0495']	['CTL0646']	['CT_390']
['TC_RS01750']	['CPn0338']	['CTL0331']	['CT_075']
['TC_RS04340']	['CPn0821']	['CTL0829']	['CT_566']
['TC_RS04480']	['CPn0787']	['CTL0858']	['CT_594']
['TC_RS03200']	['CPn1067']	['CTL0607']	['CT_353']
['TC_RS03555']	['CPn0546']	['CTL0677']	['CT_420']
['TC_RS04005']	['CPn0621']	['CTL0764']	['CT_502']
['TC_RS03005']	['CPn0076']	['CTL0572']	['CT_320']
['TC_RS02515']	['CPn0431']	[]	[]
['TC_RS02575']	['CPn0295']	['CTL0488']	['CT_236']
['TC_RS03185']	['CPn0021']	['CTL0604']	['CT_350']
['TC_RS00380']	['CPn0839']	['CTL0068']	['CT_699']
['TC_RS04415']	['CPn0806']	['CTL0844']	['CT_581']
['TC_RS01790']	['CPn0329']	['CTL0339']	['CT_084']
['TC_RS02075']	['CPn0260']	['CTL0396']	['CT_141']
['TC_RS02150']	['CPn0176']	['CTL0408']	['CT_153']
['TC_RS04545']	['CPn0775']	['CTL0869']	['CT_606']
['TC_RS03740']	['CPn0570']	['CTL0714']	['CT_454']
['TC_RS03585']	['CPn0512']	['CTL0684']	['CT_425']
['TC_RS01130']	['CPnt36']	['CTL_t27']	['CT_t36']
['TC_RS00110']	['CPn0752']	['CTL0020']	['CT_652']
['TC_RS01145']	['CPn0996']	['CTL0211']	['CT_839']
['TC_RS00290']	['CPn0694']	['CTL0051']	['CT_682']
['TC_RS04450']	['CPn0793']	['CTL0851']	['CT_588']
['TC_RS04110']	['CPn0641']	['CTL0784']	['CT_522']
['TC_RS01660']	['CPnt13']	['CTL_t26']	['CT_t02']
['TC_RS01215']	['CPn1010']	['CTL0225']	['CT_852']
['TC_RS00745']	['CPn0903']	['CTL0129']	['CT_760']
['TC_RS01580']	['CPn0385']	['CTL0301']	['CT_045']
