Query	Subject	% Similarity
TC_RS00005	TC_RS00005	100.0
TC_RS00005	CT_633	80.64
TC_RS00005	CTL0001	80.64
TC_RS00010	TC_RS00010	100.0
TC_RS00010	CT_634	81.94
TC_RS00010	CTL0002	81.94
TC_RS00015	TC_RS00015	100.0
TC_RS00015	CT_635	85.35
TC_RS00015	CTL0003	85.35
TC_RS00020	TC_RS00020	100.0
TC_RS00020	CT_636	81.01
TC_RS00025	CT_t25	100.0
TC_RS00025	CTL_t01	100.0
TC_RS00025	TC_RS00025	100.0
TC_RS00025	CPnt28	98.63
TC_RS00030	TC_RS00030	100.0
TC_RS00030	CTL0005	82.75
TC_RS00030	CT_637	82.5
TC_RS00035	TC_RS00035	100.0
TC_RS00035	CTL0006	81.24
TC_RS00040	TC_RS00040	100.0
TC_RS00040	CT_639	79.0
TC_RS00040	CTL0007	78.94
TC_RS00045	TC_RS00045	100.0
TC_RS00045	CTL0008	79.14
TC_RS00045	CT_640	78.68
TC_RS00050	TC_RS00050	100.0
TC_RS00050	CT_641	80.56
TC_RS00050	CTL0009	80.32
TC_RS00055	TC_RS00055	100.0
TC_RS00060	TC_RS00060	100.0
TC_RS00065	TC_RS00065	100.0
TC_RS00065	CTL0011	81.81
TC_RS00070	TC_RS00070	100.0
TC_RS00075	TC_RS00075	100.0
TC_RS00080	TC_RS00080	100.0
TC_RS00080	CTL0014	76.42
TC_RS00080	CT_646	76.29
TC_RS00085	TC_RS00085	100.0
TC_RS00085	CT_647	74.21
TC_RS00085	CTL0015	74.02
TC_RS00090	TC_RS00090	100.0
TC_RS00095	TC_RS00095	100.0
TC_RS00100	TC_RS00100	100.0
TC_RS00100	CTL0018	85.63
TC_RS00100	CT_650	85.54
TC_RS00105	TC_RS00105	100.0
TC_RS00110	TC_RS00110	100.0
TC_RS00115	TC_RS00115	100.0
TC_RS00120	TC_RS00120	100.0
TC_RS00125	TC_RS00125	100.0
TC_RS00125	CT_654	83.3
TC_RS00125	CTL0023	82.86
TC_RS00130	TC_RS00130	100.0
TC_RS00135	CT_t26	100.0
TC_RS00135	CTL_t03	100.0
TC_RS00135	TC_RS00135	100.0
TC_RS00140	TC_RS00140	100.0
TC_RS00145	TC_RS00145	100.0
TC_RS00150	TC_RS00150	100.0
TC_RS00150	CTL0027	82.84
TC_RS00150	CT_658	82.46
TC_RS00155	TC_RS00155	100.0
TC_RS00155	CT_659	90.3
TC_RS00155	CTL0028	90.3
TC_RS00160	TC_RS00160	100.0
TC_RS00160	CTL0029	82.5
TC_RS00160	CT_660	82.0
TC_RS00165	TC_RS00165	100.0
TC_RS00170	TC_RS00170	100.0
TC_RS00175	TC_RS00175	100.0
TC_RS00175	CT_663	88.56
TC_RS00175	CTL0032	88.56
TC_RS00180	TC_RS00180	100.0
TC_RS00180	CTL0033	80.5
TC_RS00180	CT_664	80.46
TC_RS00185	TC_RS00185	100.0
TC_RS00185	CT_665	88.63
TC_RS00185	CTL0034	87.84
TC_RS00190	TC_RS00190	100.0
TC_RS00195	TC_RS00195	100.0
TC_RS00195	CPn0709	77.46
TC_RS00200	TC_RS00200	100.0
TC_RS00205	TC_RS00205	100.0
TC_RS00205	CT_669	85.55
TC_RS00205	CTL0038	85.4
TC_RS00210	TC_RS00210	100.0
TC_RS00210	CTL0039	89.74
TC_RS00210	CT_670	89.35
TC_RS00210	CPn0706	76.47
TC_RS00215	TC_RS00215	100.0
TC_RS00220	TC_RS00220	100.0
TC_RS00220	CTL0041	84.25
TC_RS00220	CT_672	84.18
TC_RS00225	TC_RS00225	100.0
TC_RS00225	CT_673	82.18
TC_RS00225	CTL0042	82.12
TC_RS00230	TC_RS00230	100.0
TC_RS00230	CTL0043	82.74
TC_RS00230	CT_674	82.3
TC_RS00235	CT_t27	100.0
TC_RS00235	CTL_t31	100.0
TC_RS00235	TC_RS00235	100.0
TC_RS00235	CPnt26	97.26
TC_RS00240	TC_RS00240	100.0
TC_RS00240	CTL0044	79.48
TC_RS00240	CT_675	79.38
TC_RS00245	TC_RS00245	100.0
TC_RS00250	TC_RS00250	100.0
TC_RS00250	CT_t28	98.63
TC_RS00250	CTL_t20	98.63
TC_RS00255	CT_t29	100.0
TC_RS00255	CTL_t10	100.0
TC_RS00255	CPnt24	100.0
TC_RS00255	TC_RS00255	100.0
TC_RS00260	TC_RS00260	100.0
TC_RS00265	TC_RS00265	100.0
