muridarum	pneumoniae	trachomatis_434	trachomatis_duw
['TC_RS04625']	['CPn0726']	['CTL0884', 'CTL0885']	['CT_620', 'CT_621']
['TC_RS00675', 'TC_RS00600']	['CPnr01']	['CTL_r01', 'CTL_r02']	['CT_r01', 'CT_r04']
['TC_RS01030']	['CPn0970', 'CPn0969']	['CTL0189']	['CT_817']
['TC_RS00610', 'TC_RS00685']	['CPnr03']	['CTL_r06', 'CTL_r05']	['CT_r03', 'CT_r06']
['TC_RS04670']	['CPn0749']	['CTL0893']	[]
['TC_RS04780']	['CPns01']	[]	['CT_s01']
['TC_RS02735']	[]	['CTL0520']	['CT_268']
['TC_RS04635']	[]	['CTL0886']	['CT_622']
['TC_RS02665']	[]	['CTL0506']	['CT_254']
['TC_RS01545']	[]	['CTL0293']	['CT_038']
['TC_RS01835']	[]	['CTL0348']	['CT_093']
['TC_RS02785']	[]	['CTL0529']	['CT_277']
['TC_RS00495']	[]	['CTL0090']	['CT_721']
['TC_RS02670']	[]	['CTL0507']	['CT_255']
['TC_RS02810']	[]	['CTL0534']	['CT_282']
['TC_RS02560']	[]	['CTL0485']	['CT_233']
['TC_RS01305']	[]	['CTL0246']	['CT_867']
['TC_RS03355']	[]	['CTL0638']	['CT_382.1']
['TC_RS04260']	[]	['CTL0812']	['CT_550']
['TC_RS00170']	[]	['CTL0031']	['CT_662']
['TC_RS03715']	[]	['CTL0709']	['CT_449']
['TC_RS04400']	[]	['CTL0841']	['CT_578']
['TC_RS04455']	[]	['CTL0852']	['CT_589']
['TC_RS01260']	[]	['CTL0235']	['CT_860']
['TC_RS02705']	[]	['CTL0514']	['CT_262']
['TC_RS01585']	[]	['CTL0302']	['CT_046']
['TC_RS02225']	[]	['CTL0427']	['CT_175']
['TC_RS03660']	[]	['CTL0699']	['CT_440']
['TC_RS00110']	[]	['CTL0020']	['CT_652']
['TC_RS03795']	[]	['CTL0725']	['CT_465']
['TC_RS03900']	[]	['CTL0743']	['CT_482']
['TC_RS02090']	[]	['CTL0397']	['CT_142']
['TC_RS03600']	[]	['CTL0687']	['CT_428']
['TC_RS02305']	[]	['CTL0440']	['CT_188']
['TC_RS03290']	[]	['CTL0624']	['CT_370']
['TC_RS00310']	[]	['CTL0055']	['CT_686']
['TC_RS04275']	[]	['CTL0815']	['CT_553']
['TC_RS04680']	[]	['CTL0895']	['CT_631']
['TC_RS01650']	[]	['CTL0314']	['CT_058']
['TC_RS00830']	[]	['CTL0146']	['CT_777']
['TC_RS03750']	[]	['CTL0716']	['CT_456']
['TC_RS04585']	[]	['CTL0877']	['CT_613']
['TC_RS02055']	[]	['CTL0392']	['CT_137']
['TC_RS01790']	[]	['CTL0339']	['CT_084']
['TC_RS01870']	[]	['CTL0355']	['CT_100']
['TC_RS04475']	[]	['CTL0856']	['CT_593']
['TC_RS02535']	[]	['CTL0480']	['CT_228']
['TC_RS03120']	[]	['CTL0592']	['CT_338']
['TC_RS00220']	[]	['CTL0041']	['CT_672']
['TC_RS01205']	[]	['CTL0223']	['CT_850']
['TC_RS01265']	[]	['CTL0236']	['CT_861']
['TC_RS00125']	[]	['CTL0023']	['CT_654']
['TC_RS03060']	[]	['CTL0581']	['CT_327']
['TC_RS01965']	[]	['CTL0374']	['CT_119']
['TC_RS01530']	[]	['CTL0290']	['CT_035']
['TC_RS02570']	[]	['CTL0487']	['CT_235']
['TC_RS04270']	[]	['CTL0814']	['CT_552']
['TC_RS03790']	[]	['CTL0724']	['CT_464']
['TC_RS03065']	[]	['CTL0582']	['CT_328']
['TC_RS02755']	[]	['CTL0523']	['CT_271']
['TC_RS00770']	[]	['CTL0134']	['CT_765']
['TC_RS01600']	[]	['CTL0305']	['CT_049']
['TC_RS02255']	[]	['CTL0432']	['CT_180']
['TC_RS02325']	[]	['CTL0444']	['CT_192']
['TC_RS03510']	[]	['CTL0669']	['CT_412']
['TC_RS03360']	[]	['CTL0639']	['CT_383']
['TC_RS02965']	[]	['CTL0564']	['CT_312']
['TC_RS02825']	[]	['CTL0537']	['CT_285']
['TC_RS00175']	[]	['CTL0032']	['CT_663']
['TC_RS01815']	[]	['CTL0344']	['CT_089']
['TC_RS02320']	[]	['CTL0443']	['CT_191']
['TC_RS01100']	[]	['CTL0203']	['CT_831']
['TC_RS03490']	[]	['CTL0665']	['CT_408']
['TC_RS00355']	[]	['CTL0064']	['CT_695']
['TC_RS02245']	[]	['CTL0430']	['CT_178']
['TC_RS03875']	[]	['CTL0738']	['CT_477']
['TC_RS03075']	['CPn1060a']	['CTL0583A']	[]
['TC_RS00940']	[]	['CTL0169']	['CT_800']
['TC_RS00085']	[]	['CTL0015']	['CT_647']
['TC_RS00095']	[]	['CTL0017']	['CT_649']
['TC_RS00910']	[]	['CTL0164']	['CT_795']
['TC_RS01015']	[]	['CTL0186']	['CT_814.1']
['TC_RS00380']	[]	['CTL0068']	['CT_699']
['TC_RS04345']	[]	['CTL0830']	['CT_567']
['TC_RS04805']	[]	['CTL0484']	['CT_232']
['TC_RS01095']	[]	['CTL0202']	['CT_830']
['TC_RS01760']	[]	['CTL0333']	['CT_077']
['TC_RS00510']	[]	['CTL0093']	['CT_724']
['TC_RS03905']	[]	['CTL0744']	['CT_483']
['TC_RS00735']	[]	['CTL0127']	['CT_758']
['TC_RS03240']	[]	['CTL0614']	['CT_360']
['TC_RS04350']	[]	['CTL0831']	['CT_568']
['TC_RS00335']	[]	['CTL0060']	['CT_691']
['TC_RS01460']	[]	['CTL0276']	['CT_021']
['TC_RS02075']	[]	['CTL0396']	['CT_141']
['TC_RS03130']	[]	['CTL0593']	['CT_339']
['TC_RS02050']	[]	['CTL0391']	['CT_136']
['TC_RS00045']	[]	['CTL0008']	['CT_640']
['TC_RS03365']	[]	['CTL0640']	['CT_384']
['TC_RS02100']	[]	['CTL0399']	['CT_144']
['TC_RS04610']	[]	['CTL0881']	['CT_617']
['TC_RS02480']	[]	['CTL0471']	['CT_219']
['TC_RS01335']	[]	['CTL0250']	['CT_871']
['TC_RS01340']	[]	['CTL0251']	['CT_872']
['TC_RS03690']	[]	['CTL0704']	['CT_444.1']
['TC_RS03045']	[]	['CTL0578']	['CT_326']
['TC_RS01000']	[]	['CTL0183']	['CT_812']
['TC_RS02840']	[]	['CTL0540']	['CT_288']
['TC_RS01915']	[]	['CTL0364']	['CT_109']
['TC_RS01325']	[]	['CTL0248']	['CT_869']
['TC_RS04600']	[]	['CTL0880']	['CT_616']
['TC_RS04340']	[]	['CTL0829']	['CT_566']
['TC_RS02355']	[]	['CTL0450']	['CT_198']
['TC_RS01355']	[]	['CTL0255']	['CT_875']
['TC_RS03860']	[]	['CTL0735']	['CT_474']
['TC_RS01775']	[]	['CTL0336']	['CT_080']
['TC_RS00645']	[]	['CTL0114']	['CT_745']
['TC_RS02010']	[]	['CTL0383']	['CT_128']
['TC_RS01330']	[]	['CTL0249']	['CT_870']
['TC_RS02340']	[]	['CTL0447']	['CT_195']
['TC_RS02710']	[]	['CTL0515']	['CT_263']
['TC_RS03635']	[]	['CTL0694']	['CT_435']
['TC_RS02895']	[]	['CTL0551']	['CT_299']
['TC_RS02435']	[]	['CTL0464']	['CT_212']
['TC_RS02005']	[]	['CTL0382']	['CT_127']
['TC_RS00445']	[]	['CTL0080']	['CT_711']
['TC_RS02095']	[]	['CTL0398']	['CT_143']
['TC_RS03325']	[]	['CTL0631']	['CT_377']
['TC_RS03925']	[]	['CTL0748']	['CT_487']
['TC_RS03780']	[]	['CTL0722']	['CT_462']
['TC_RS00880']	[]	['CTL0156']	['CT_788']
['TC_RS00705']	[]	['CTL0122']	['CT_753']
