Query	Best Match(es)
TC_RS04105	{'CPn0640': 81.97}
TC_RS02405	{'CPnt06': 95.95}
TC_RS02265	{'CPnt08': 100.0}
TC_RS04595	{'CPn0756': 79.88}
CPn0503	{'TC_RS03430': 79.28}
TC_RS02500	{'CPnt11': 100.0}
TC_RS02350	{'CPn0194': 97.96}
CPn0081	{'TC_RS02980': 78.8}
CPnt33	{'TC_RS00720': 98.59}
TC_RS01570	{'CPn0387': 81.6}
TC_RS00700	{'CPn0895': 77.74}
TC_RS02565	{'CPn0293': 79.34}
CPnt23	{'TC_RS00280': 100.0}
CPn0985	{'TC_RS01085': 77.17}
CPnt16	{'TC_RS03560': 97.26}
CPnr03	{'TC_RS00685': 93.04, 'TC_RS00610': 93.04}
CPnt22	{'TC_RS04195': 96.43}
TC_RS00720	{'CPnt33': 98.59}
TC_RS02315	{'CPn0275': 74.34}
TC_RS03820	{'CPnt18': 97.3}
CPnt15	{'TC_RS03525': 97.7}
TC_RS00435	{'CPn0850': 80.95}
TC_RS00590	{'CPnt32': 95.95}
TC_RS00610	{'CPnr03': 93.04}
TC_RS00025	{'CPnt28': 98.63}
CPnt12	{'TC_RS02495': 98.65}
CPn0293	{'TC_RS02565': 79.34}
TC_RS04530	{'CPnt30': 95.95}
TC_RS00605	{'CPnr02': 93.94}
CPnr01	{'TC_RS00600': 94.4, 'TC_RS00675': 94.4}
CPnt19	{'TC_RS03840': 100.0}
TC_RS01090	{'CPnt35': 100.0}
CPn0323	{'TC_RS01820': 79.63}
TC_RS03975	{'CPnt20': 98.88}
TC_RS01540	{'CPnt04': 100.0}
CPnt21	{'TC_RS04015': 97.59}
TC_RS02975	{'CPn0082': 79.38}
CPn0074	{'TC_RS03020': 82.59}
TC_RS04780	{'CPns01': 83.1}
CPn0351	{'TC_RS01690': 75.03}
CPn0640	{'TC_RS04105': 81.97}
TC_RS02830	{'CPn0144': 75.43}
TC_RS04195	{'CPnt22': 96.43}
TC_RS00255	{'CPnt24': 100.0}
CPn0709	{'TC_RS00195': 77.46}
CPnt36	{'TC_RS01130': 100.0}
CPnt17	{'TC_RS03800': 95.18}
TC_RS01280	{'CPnt37': 97.56}
CPnt11	{'TC_RS02500': 100.0}
CPn1006	{'TC_RS01195': 78.69}
TC_RS02695	{'CPn0409': 72.69}
TC_RS02980	{'CPn0081': 78.8}
CPn0625	{'TC_RS04030': 77.75}
CPnt37	{'TC_RS01280': 97.56}
CPnt09	{'TC_RS02085': 97.59}
TC_RS01130	{'CPnt36': 100.0}
TC_RS02260	{'CPnt07': 100.0}
TC_RS00280	{'CPnt23': 100.0}
CPnt13	{'TC_RS01660': 98.67}
TC_RS04190	{'CPn0658': 78.18}
CPn0521	{'TC_RS03620': 74.18}
CPnt35	{'TC_RS01090': 100.0}
TC_RS03800	{'CPnt17': 95.18}
TC_RS03840	{'CPnt19': 100.0}
CPn0984	{'TC_RS01080': 74.5}
CPn0746	{'TC_RS04690': 72.16}
TC_RS04030	{'CPn0625': 77.75}
CPn0194	{'TC_RS02350': 97.96}
CPnt29	{'TC_RS04685': 98.65}
TC_RS00565	{'CPn0876': 72.27}
CPn0409	{'TC_RS02695': 72.69}
CPnt08	{'TC_RS02265': 100.0}
TC_RS02495	{'CPnt12': 98.65}
TC_RS03020	{'CPn0074': 82.59}
CPnt31	{'TC_RS00425': 98.61}
TC_RS04740	{'CPns02': 81.97}
CPnt34	{'TC_RS00930': 98.61}
TC_RS00235	{'CPnt26': 97.26}
TC_RS01085	{'CPn0985': 77.17}
CPnt20	{'TC_RS03975': 98.88}
CPnt03	{'TC_RS03015': 95.71}
CPnt07	{'TC_RS02260': 100.0}
