Query	Subject	% Similarity	E Value	Length
CPn0001	CT_001	73.33	3e-06	75
CPn0002	CT_450	100.0	0.064	17
CPn0003	CT_003	68.51	1.9999999999999995e-148	1445
CPn0004	CT_004	69.93	0.0	1420
CPn0005	CT_021	100.0	0.015	20
CPn0006	CT_643	90.48	0.11	21
CPn0007	CT_619	91.67	0.053	24
CPn0008	CT_091	100.0	0.045	18
CPn0009	CT_297	100.0	0.083	18
CPn0010.1	CT_643	100.0	0.51	17
CPn0012	CT_640	100.0	1.2	16
CPn0012	CT_513	94.74	1.2	19
CPn0012	CT_376	100.0	1.2	16
CPn0012	CT_147	85.71	1.2	28
CPn0013	CT_412	92.59	0.013000000000000001	27
CPn0014	CT_871	77.38	4e-09	84
CPn0016	CT_872	100.0	0.61	17
CPn0016	CT_119	100.0	0.61	17
CPn0018	CT_414	87.5	0.001	32
CPn0020	CT_351	67.61	3.999999999999999e-90	994
CPn0021	CT_350	67.13	2e-37	499
CPn0022	CT_349	71.33	5e-13	143
CPn0023	CT_348	74.63	0.0	1553
CPn0024	CT_347	68.7	2.9999999999999997e-62	607
CPn0025	CT_346	68.95	2.9999999999999997e-87	818
CPn0026	CT_748	100.0	0.66	16
CPn0026	CT_715	84.62	0.66	26
CPn0027	CT_344	74.25	0.0	2458
CPn0028	CT_639	91.3	0.049	23
CPn0029	CT_739	94.44	0.96	18
CPn0029	CT_728	94.44	0.96	18
CPn0030	CT_343	66.91	7.000000000000001e-18	275
CPn0031	CT_342	82.39	4e-46	176
CPn0032	CT_341	75.42	0.0	1184
CPn0033	CT_340	71.4	0.0	1993
CPn0034	CT_482	90.48	0.96	21
CPn0034	CT_028	94.74	0.96	19
CPn0035	CT_339	71.15	1e-07	104
CPn0036	CT_338	87.8	2e-07	41
CPn0037	CT_337	72.09	8e-14	129
CPn0038	CT_336	71.24	9.999999999999999e-84	605
CPn0039	CT_335	70.96	1e-30	272
CPn0040	CT_334	69.35	1.9999999999999997e-73	708
CPn0041	CT_565	100.0	1.0	16
CPn0041	CT_471	84.62	1.0	26
CPn0041	CT_256	90.48	1.0	21
CPn0041	CT_085	94.74	1.0	19
CPn0041	CT_019	100.0	1.0	16
CPn0042	CT_559	90.91	0.17	22
CPn0043	CT_145	100.0	0.43	17
CPn0044	CT_642	85.19	0.077	27
CPn0044	CT_409	100.0	0.077	17
CPn0045	CT_063	100.0	0.14	18
CPn0047	CT_288	100.0	1.7	14
CPn0047	CT_147	89.47	1.7	19
CPn0048	CT_234	100.0	0.001	22
CPn0049	CT_813	100.0	0.36	16
CPn0049	CT_712	85.71	0.36	28
CPn0050	CT_866	90.0	0.82	20
CPn0050	CT_744	90.91	0.82	22
CPn0050	CT_526	94.44	0.82	18
CPn0051	CT_662	81.48	2.5	27
CPn0051	CT_595	89.47	2.5	19
CPn0051	CT_575	94.12	2.5	17
CPn0051	CT_501	100.0	2.5	14
CPn0051	CT_274	100.0	2.5	14
CPn0052	CT_366	90.91	0.15	22
CPn0053	CT_298	69.65	7.999999999999999e-123	1038
CPn0054	CT_297	66.29	2e-38	700
CPn0055	CT_491	100.0	1.2	15
CPn0055	CT_399	94.44	1.2	18
CPn0055	CT_286	100.0	1.2	15
CPn0055	CT_110	94.44	1.2	18
CPn0056	CT_295	63.9	1e-38	1061
CPn0057	CT_294	70.05	7.999999999999999e-68	581
CPn0058	CT_293	73.9	2.9999999999999985e-164	931
CPn0059	CT_443	86.96	1.1	23
CPn0059	CT_105	84.0	1.1	25
CPn0060	CT_291	70.28	6e-30	286
CPn0061	CT_240	100.0	0.15	17
CPn0062	CT_289	75.74	8e-28	169
CPn0063	CT_652.1	88.0	0.031	25
CPn0064	CT_278	90.0	0.58	20
CPn0065	CT_480	90.48	1.3	21
CPn0065	CT_144	94.74	1.3	19
CPn0066	CT_738	100.0	0.11	18
CPn0067	CT_869	100.0	3.0	15
CPn0067	CT_792	90.0	3.0	20
CPn0067	CT_730	100.0	3.0	15
CPn0067	CT_640	90.0	3.0	20
CPn0067	CT_509	100.0	3.0	15
CPn0067	CT_468	90.0	3.0	20
CPn0067	CT_412	86.96	3.0	23
CPn0067	CT_286	100.0	3.0	15
CPn0067	CT_173	94.44	3.0	18
CPn0067	CT_109	100.0	3.0	15
CPn0068	CT_638	95.0	0.12	20
CPn0069	CT_692	90.48	1.4	21
CPn0069	CT_139	94.74	1.4	19
CPn0069	CT_107	100.0	1.4	16
CPnt01	CT_t13	87.67	1.0000000000000001e-20	73
CPn0071	CT_325	67.0	2.0000000000000002e-11	200
CPn0072	CT_456	85.19	0.22	27
CPn0072	CT_133	90.91	0.22	22
CPn0073	CT_323	78.83	3e-49	222
CPnt02	CT_t12	95.83	4e-28	72
CPn0074	CT_322	83.21	0.0	1185
CPnt03	CT_t11	94.52	1e-27	73
CPn0075	CT_321	70.79	3.9999999999999997e-22	202
CPn0076	CT_320	79.93	9.999999999999998e-141	548
CPn0077	CT_319	76.76	3.9999999999999995e-89	426
CPn0078	CT_318	75.43	2.9999999999999993e-137	692
CPn0079	CT_317	74.85	7.999999999999999e-92	513
CPn0080	CT_316	82.89	2.999999999999999e-108	374
CPn0081	CT_315	78.07	0.0	3762
CPn0082	CT_314	78.44	0.0	4165
CPn0083	CT_313	72.96	3.9999999999999986e-156	958
CPn0084	CT_392	94.12	3.6	17
CPn0084	CT_339	89.47	3.6	19
CPn0084	CT_259	100.0	3.6	14
CPn0084	CT_153	100.0	3.6	14
CPn0084	CT_063	100.0	3.6	14
CPn0085	CT_311	70.78	8e-56	462
CPn0086	CT_310	70.54	5e-70	594
CPn0087	CT_309	68.29	9.999999999999999e-55	659
CPn0088	CT_308	73.16	0.0	1777
CPn0089	CT_307	76.61	0.0	1308
CPn0090	CT_306	66.61	3e-35	605
CPn0091	CT_305	64.3	8.999999999999999e-67	1633
CPn0092	CT_304	74.88	2.9999999999999994e-78	426
CPn0093	CT_303	64.29	4e-13	378
CPn0094	CT_302	70.06	0.0	2485
CPn0095	CT_301	68.82	3.9999999999999994e-73	728
CPn0096	CT_333	65.2	2.9999999999999995e-123	2313
CPn0097	CT_332	69.48	1.9999999999999993e-167	1435
CPn0098	CT_010	65.69	7e-41	822
CPn0098a	CT_641	94.44	0.77	18
CPn0100	CT_011	66.26	4.999999999999999e-80	1150
CPn0101	CT_012	70.74	1.9999999999999995e-102	786
CPn0102	CT_013	69.06	9.999999999999998e-140	1212
CPn0103	CT_858	100.0	0.065	18
CPn0103	CT_609	100.0	0.065	18
CPn0104	CT_017	66.89	2.9999999999999997e-44	586
CPn0105	CT_016	69.23	4e-35	364
CPn0106	CT_015	68.84	1.9999999999999994e-142	1316
CPn0107	CT_675	94.74	0.59	19
CPn0108	CT_023	100.0	1.5	15
CPns01	CT_s01	82.51	3.9999999999999995e-114	423
CPn0109	CT_019	71.02	0.0	2564
CPn0110	CT_020	66.33	9.999999999999998e-122	1669
CPn0111	CT_021	74.68	5e-08	79
CPn0112	CT_022	83.33	1.9999999999999997e-66	234
CPn0113	CT_023	73.41	9.999999999999996e-177	1038
CPn0114	CT_024	69.14	5e-40	418
CPn0115	CT_025	67.89	4.999999999999998e-131	1364
CPn0116	CT_026	76.9	8e-65	316
CPn0117	CT_027	70.96	6.999999999999998e-65	544
CPn0118	CT_028	76.78	1e-75	366
CPn0119	CT_029	68.69	7.000000000000001e-50	527
CPn0120	CT_030	65.06	1e-27	561
CPn0121	CT_031	80.0	4.0000000000000003e-29	135
CPn0122	CT_032	69.94	0.0	1540
CPn0123	CT_033	68.65	1.9999999999999996e-120	1174
CPn0124	CT_287	85.29	0.008	34
CPn0125	CT_234	91.67	0.11	24
CPn0126	CT_748	82.86	0.012	35
CPn0127	CT_034	63.3	5.0000000000000005e-22	921
CPn0128	CT_035	65.08	6.999999999999999e-19	524
CPn0129	CT_505	90.91	0.26	22
CPn0129	CT_088	95.0	0.26	20
CPnt04	CT_t01	100.0	1.9999999999999998e-32	72
CPn0131	CT_047	81.25	0.23	32
CPn0132	CT_234	91.3	0.062	23
CPn0133	CT_109	75.79	2e-12	95
CPn0134	CT_110	80.92	0.0	1635
CPn0135	CT_111	76.47	2e-53	272
CPn0136	CT_112	67.55	2.999999999999999e-116	1356
CPn0137	CT_108	65.57	2.9999999999999995e-36	639
CPn0138	CT_210	68.57	9.999999999999999e-33	420
CPn0139	CT_211	64.85	1.0000000000000001e-21	569
CPn0140	CT_802	87.5	0.33	24
CPn0141	CT_213	68.22	4e-34	409
CPn0143	CT_283	95.0	0.25	20
CPn0143	CT_153	81.25	0.25	32
CPn0144	CT_113	74.81	0.0	2592
CPn0145	CT_114	70.17	6e-30	295
CPn0146	CT_632	92.31	0.0007	26
CPn0147	CT_812	86.96	1.2	23
CPn0147	CT_426	94.44	1.2	18
CPn0148	CT_145	73.26	8.999999999999998e-149	905
CPn0149	CT_146	65.08	2.9999999999999995e-73	1363
CPn0150	CT_615	89.29	0.024	28
CPn0151	CT_148	67.3	7.000000000000001e-54	685
CPn0152	CT_869	90.48	0.73	21
CPn0153	CT_209	69.7	0.0	2373
CPn0154	CT_208	67.04	5.0000000000000004e-30	443
CPnt05	CT_t08	100.0	4.9999999999999996e-33	73
CPnt06	CT_t07	95.95	2.9999999999999997e-29	74
CPn0155	CT_625	88.0	0.042	25
CPn0155	CT_025	100.0	0.042	17
CPn0156	CT_493	85.71	0.034	28
CPn0157	CT_582	90.91	0.092	22
CPn0158	CT_608	94.74	0.41	19
CPn0159	CT_474	100.0	0.23	16
CPn0160	CT_207	67.24	3.9999999999999995e-133	1627
CPn0161	CT_730	100.0	2.2	15
CPn0161	CT_583	100.0	2.2	15
CPn0161	CT_538	94.44	2.2	18
CPn0161	CT_216	100.0	2.2	15
CPn0161	CT_066	100.0	2.2	15
CPn0162	CT_684	100.0	0.79	16
CPn0162	CT_485	84.62	0.79	26
CPn0163	CT_239	91.67	0.079	24
CPn0164	CT_242	100.0	0.38	16
CPn0165	CT_821	84.62	0.44	26
CPn0165	CT_180	91.3	0.44	23
CPn0166	CT_870	90.48	0.25	21
CPn0167	CT_289	95.0	0.07	20
CPn0168	CT_554	81.25	0.047	32
CPn0169	CT_590	90.91	0.17	22
CPn0170	CT_642	95.0	0.22	20
CPn0171	CT_409	91.3	0.08199999999999999	23
CPn0172	CT_858	100.0	0.067	18
CPn0173	CT_561	100.0	0.7	15
CPn0173	CT_279	94.44	0.7	18
CPn0173	CT_137	94.44	0.7	18
CPn0174	CT_190	88.0	0.1	25
CPn0175	CT_870	90.91	0.081	22
CPn0176	CT_153	62.75	2e-08	502
CPn0177	CT_651	90.91	0.19	22
CPn0177	CT_172	100.0	0.19	17
CPn0178	CT_036	95.45	0.005	22
CPn0179	CT_707	100.0	0.26	16
CPn0179	CT_705	100.0	0.26	16
CPn0180	CT_552	91.3	0.034	23
CPn0181	CT_794	100.0	1.0	15
CPn0181	CT_587	100.0	1.0	15
CPn0181	CT_311	86.96	1.0	23
CPn0181	CT_163	100.0	1.0	15
CPn0182	CT_124	77.52	0.0	1317
CPn0183	CT_123	72.43	2.999999999999999e-72	497
CPn0184	CT_122	74.51	1.9999999999999998e-101	561
CPn0185	CT_121	69.23	6.999999999999998e-69	663
CPn0186	CT_844	83.33	0.26	30
CPn0186	CT_139	88.0	0.26	25
CPn0187	CT_828	95.24	0.05	21
CPn0187	CT_656	91.3	0.05	23
CPn0188	CT_132	69.37	8.999999999999998e-84	741
CPn0189	CT_131	67.82	2e-77	898
CPn0190	CT_584	85.19	0.3	27
CPn0191	CT_094	100.0	0.012	19
CPn0192	CT_129	71.03	9.999999999999998e-67	535
CPn0193	CT_238	100.0	1.2	15
CPn0194	CT_197	66.37	1.9999999999999997e-66	1023
CPn0195	CT_198	67.96	2.0000000000000002e-11	206
CPn0196	CT_198	74.6	0.0002	63
CPn0197	CT_139	76.04	1e-12	96
CPn0198	CT_175	77.05	5e-06	61
CPn0199	CT_199	66.16	9e-63	922
CPn0200	CT_200	72.26	4.999999999999999e-91	620
CPn0201	CT_768	94.74	0.65	19
CPn0201	CT_051	100.0	0.65	16
CPn0202	CT_202	66.33	5.9999999999999997e-33	499
CPn0203	CT_470	89.29	0.063	28
CPn0205	CT_623	91.3	0.14	23
CPn0206	CT_203	70.56	1.9999999999999994e-96	737
CPn0207	CT_204	71.72	0.0	1393
