Query	Best Match(es)
CPn0085	{'TC_RS02960': 67.9}
CPn0054	{'TC_RS02885': 66.51}
TC_RS01860	{'CPn0315': 80.63}
TC_RS04470	{'CPn0789': 72.3}
CPn0864	{'TC_RS00505': 71.24}
CPn0595	{'TC_RS03870': 69.45}
CPn0884	{'TC_RS00625': 76.99}
TC_RS01890	{'CPn0406': 74.86}
TC_RS03680	{'CPn0557': 74.2}
CPn0345	{'TC_RS01730': 66.94}
TC_RS03450	{'CPn0527': 75.51}
TC_RS03385	{'CPn0490': 66.07}
CPn0787	{'TC_RS04480': 68.89}
TC_RS03880	{'CPn0597': 72.97}
TC_RS02690	{'CPn0397': 65.36}
TC_RS04090	{'CPn0637': 81.03}
CPn0304	{'TC_RS02620': 70.97}
TC_RS04775	{'CPn0986': 66.48}
CPn0024	{'TC_RS03170': 68.04}
CPn0380	{'TC_RS01615': 66.71}
TC_RS02580	{'CPn0296': 67.51}
CPn0689	{'TC_RS00315': 65.45}
CPn0917	{'TC_RS00800': 73.5}
TC_RS01085	{'CPn0985': 76.72}
CPn0350	{'TC_RS01700': 75.81}
TC_RS04625	{'CPn0726': 73.31}
CPn1068	{'TC_RS01395': 68.35}
CPn0104	{'TC_RS01440': 66.99}
TC_RS04060	{'CPn0631': 76.65}
CPnt26	{'TC_RS00235': 97.26}
CPn0937	{'TC_RS00875': 79.74}
TC_RS03760	{'CPn0575': 72.64}
TC_RS01935	{'CPn0144': 73.46}
TC_RS01400	{'CPn1069': 72.11}
CPn0682	{'TC_RS00330': 71.6}
CPn1024	{'TC_RS01290': 66.6}
TC_RS03730	{'CPn0568': 67.47}
CPn0936	{'TC_RS00870': 78.26}
TC_RS02750	{'CPn0419': 67.06}
TC_RS03350	{'CPn0484': 66.56}
TC_RS02625	{'CPn0305': 73.35}
TC_RS00700	{'CPn0895': 77.31}
TC_RS02995	{'CPn0078': 76.73}
TC_RS01855	{'CPn0316': 78.08}
TC_RS03985	{'CPn0617': 70.01}
TC_RS00420	{'CPn0848': 69.01}
TC_RS00985	{'CPn0959': 74.74}
TC_RS03145	{'CPn0031': 82.49}
CPn0206	{'TC_RS02380': 71.91}
TC_RS03930	{'CPn0606': 67.22}
CPn0184	{'TC_RS01980': 77.68}
CPn0828	{'TC_RS04305': 76.63}
CPn0995	{'TC_RS01140': 66.63}
TC_RS04555	{'CPn0773': 72.95}
TC_RS04080	{'CPn0635': 77.35}
TC_RS01065	{'CPn0981': 67.05}
TC_RS03580	{'CPn0511': 70.97}
TC_RS03980	{'CPn0616': 68.35}
CPnr01	{'TC_RS00675': 94.33, 'TC_RS00600': 94.33}
CPn0083	{'TC_RS02970': 74.31}
TC_RS03890	{'CPn0599': 71.53}
TC_RS03585	{'CPn0512': 70.04}
CPn1048	{'TC_RS03255': 64.57}
TC_RS03280	{'CPn1037': 64.24}
TC_RS02775	{'CPn0424': 75.5}
TC_RS01490	{'CPn0117': 70.91}
TC_RS01715	{'CPn0348': 72.33}
CPn0098	{'TC_RS01405': 66.91}
TC_RS02400	{'CPn0160': 66.76}
TC_RS01470	{'CPn0113': 72.63}
TC_RS04370	{'CPn0815': 69.0}
TC_RS02295	{'CPn0239': 66.46}
CPn0855	{'TC_RS00460': 69.65}
CPn0100	{'TC_RS01410': 66.9}
CPnt29	{'TC_RS04685': 98.65}
CPn0629	{'TC_RS04050': 73.98}
TC_RS04290	{'CPn0834': 75.11}
TC_RS04120	{'CPn0643': 81.27}
TC_RS00500	{'CPn0863': 74.0}
CPn0185	{'TC_RS01975': 69.79}
CPn0867	{'TC_RS00520': 69.25}
TC_RS03995	{'CPn0619': 76.98}
CPn0761	{'TC_RS04570': 68.25}
TC_RS00665	{'CPn0892': 69.84}
TC_RS02675	{'CPn0394': 66.05}
CPn0769	{'TC_RS00065': 69.27}
CPn0441	{'TC_RS01390': 66.91}
TC_RS02645	{'CPn0309': 70.08}
CPn0719	{'TC_RS00150': 71.93}
CPn0116	{'TC_RS01485': 76.43}
CPn0112	{'TC_RS01465': 82.48}
TC_RS03210	{'CPn1058': 69.28}
TC_RS03695	{'CPn0560': 72.53}
TC_RS01140	{'CPn0995': 66.63}
TC_RS03965	{'CPn0614': 65.38}
CPn0025	{'TC_RS03165': 70.32}
CPn0571	{'TC_RS03745': 67.75}
CPn0316	{'TC_RS01855': 78.08}
TC_RS04505	{'CPn0782': 69.01}
TC_RS02110	{'CPn0149': 64.68}
